team,date,opponent,time,channel
cbj,"Thu, Oct 12",Philadelphia Flyers,invalid time,['NHL CENTER ICE']
cbj,"Sat, Oct 14",New York Rangers,invalid time,['NHL CENTER ICE']
cbj,"Mon, Oct 16",Detroit Red Wings,invalid time,['NHL CENTER ICE']
cbj,"Fri, Oct 20",Calgary Flames,invalid time,['NHL CENTER ICE']
cbj,DATE,Anaheim Ducks,invalid time,['NHL CENTER ICE']
cbj,"Thu, Oct 26",Montreal Canadiens,2023-10-26 23:00:00,['NHLPP|ESPN+']
cbj,"Tue, Oct 24",Anaheim Ducks,2023-10-24 22:30:00,['NHLPP|ESPN+']
cbj,"Mon, Oct 30",Dallas Stars,2023-10-31 00:00:00,['NHLPP|ESPN+']
cbj,"Sat, Oct 28",New York Islanders,2023-10-28 23:00:00,['NHLPP|ESPN+']
cbj,"Sat, Nov 4",Washington Capitals,2023-11-04 23:00:00,['NHLPP|ESPN+']
cbj,"Thu, Nov 2",Tampa Bay Lightning,2023-11-02 23:00:00,['NHLPP|ESPN+']
cbj,"Thu, Nov 9",Dallas Stars,2023-11-10 00:30:00,"['ESPN+', 'HULU']"
cbj,"Mon, Nov 6",Florida Panthers,2023-11-07 00:00:00,['NHL CENTER ICE']
cbj,"Sun, Nov 12",New York Rangers,2023-11-13 00:00:00,['NHL CENTER ICE']
cbj,"Sat, Nov 11",Detroit Red Wings,2023-11-11 18:00:00,['NHL CENTER ICE']
cbj,"Thu, Nov 16",Arizona Coyotes,2023-11-17 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Nov 14",Pittsburgh Penguins,2023-11-15 00:00:00,['NHL CENTER ICE']
cbj,"Sun, Nov 19",Philadelphia Flyers,2023-11-19 22:30:00,['NHL CENTER ICE']
cbj,"Sat, Nov 18",Washington Capitals,2023-11-19 00:00:00,['NHL CENTER ICE']
cbj,"Fri, Nov 24",New Jersey Devils,2023-11-25 00:00:00,['NHL CENTER ICE']
cbj,"Wed, Nov 22",Chicago Blackhawks,2023-11-23 00:00:00,['NHL CENTER ICE']
cbj,"Mon, Nov 27",Boston Bruins,2023-11-28 00:00:00,['NHL CENTER ICE']
cbj,"Sun, Nov 26",Carolina Hurricanes,2023-11-26 22:00:00,['NHL CENTER ICE']
cbj,"Fri, Dec 1",Ottawa Senators,2023-12-02 00:00:00,['NHL CENTER ICE']
cbj,"Wed, Nov 29",Montreal Canadiens,2023-11-30 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Dec 5",Los Angeles Kings,2023-12-06 00:00:00,['NHL CENTER ICE']
cbj,"Sun, Dec 3",Boston Bruins,2023-12-04 00:00:00,['NHL CENTER ICE']
cbj,"Fri, Dec 8",St Louis Blues,2023-12-09 00:00:00,['NHL CENTER ICE']
cbj,"Thu, Dec 7",New York Islanders,2023-12-08 00:30:00,['NHL CENTER ICE']
cbj,"Thu, Dec 14",Toronto Maple Leafs,2023-12-15 00:00:00,['NHL CENTER ICE']
cbj,"Sun, Dec 10",Florida Panthers,2023-12-10 18:00:00,['NHL CENTER ICE']
cbj,"Tue, Dec 19",Buffalo Sabres,2023-12-20 00:00:00,['NHL CENTER ICE']
cbj,"Sat, Dec 16",New Jersey Devils,2023-12-17 00:00:00,['NHL CENTER ICE']
cbj,"Sat, Dec 23",Toronto Maple Leafs,2023-12-24 00:00:00,['NHL CENTER ICE']
cbj,"Thu, Dec 21",Washington Capitals,2023-12-22 00:00:00,['NHL CENTER ICE']
cbj,"Fri, Dec 29",Toronto Maple Leafs,2023-12-30 00:00:00,['NHL CENTER ICE']
cbj,"Wed, Dec 27",New Jersey Devils,2023-12-28 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Jan 2",Boston Bruins,2024-01-03 00:00:00,['NHL CENTER ICE']
cbj,"Sat, Dec 30",Buffalo Sabres,2023-12-30 22:00:00,['NHL CENTER ICE']
cbj,"Sat, Jan 6",Minnesota Wild,2024-01-07 00:00:00,['NHL CENTER ICE']
cbj,"Thu, Jan 4",Philadelphia Flyers,2024-01-05 00:00:00,['NHL CENTER ICE']
cbj,"Sat, Jan 13",Seattle Kraken,2024-01-14 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Jan 9",Winnipeg Jets,2024-01-10 01:00:00,['NHL CENTER ICE']
cbj,"Fri, Jan 19",New Jersey Devils,2024-01-20 00:00:00,['NHL CENTER ICE']
cbj,"Mon, Jan 15",Vancouver Canucks,2024-01-15 18:00:00,['NHL CENTER ICE']
cbj,"Thu, Jan 25",Calgary Flames,2024-01-26 02:00:00,['NHL CENTER ICE']
cbj,"Tue, Jan 23",Edmonton Oilers,2024-01-24 02:00:00,['NHL CENTER ICE']
cbj,"Sun, Jan 28",Seattle Kraken,2024-01-29 02:00:00,['NHL CENTER ICE']
cbj,"Sat, Jan 27",Vancouver Canucks,2024-01-28 03:00:00,['NHL CENTER ICE']
cbj,"Sat, Feb 10",Tampa Bay Lightning,2024-02-11 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Jan 30",St Louis Blues,2024-01-31 01:00:00,['NHL CENTER ICE']
cbj,"Sat, Feb 17",San Jose Sharks,2024-02-18 03:30:00,['NHL CENTER ICE']
cbj,"Tue, Feb 13",Ottawa Senators,2024-02-14 00:00:00,['NHL CENTER ICE']
cbj,"Wed, Feb 21",Anaheim Ducks,2024-02-22 03:00:00,['NHL CENTER ICE']
cbj,"Tue, Feb 20",Los Angeles Kings,2024-02-21 03:30:00,['NHL CENTER ICE']
cbj,"Sun, Feb 25",New York Rangers,2024-02-25 23:00:00,['NHL CENTER ICE']
cbj,"Fri, Feb 23",Buffalo Sabres,2024-02-24 00:00:00,['NHL CENTER ICE']
cbj,"Thu, Feb 29",Carolina Hurricanes,2024-03-01 00:00:00,"['ESPN+', 'HULU']"
cbj,"Wed, Feb 28",New York Rangers,2024-02-29 00:00:00,['NHL CENTER ICE']
cbj,"Mon, Mar 4",Vegas Golden Knights,2024-03-05 00:00:00,['NHL CENTER ICE']
cbj,"Sat, Mar 2",Chicago Blackhawks,2024-03-03 01:00:00,['NHL CENTER ICE']
cbj,"Thu, Mar 7",Edmonton Oilers,2024-03-08 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Mar 5",Pittsburgh Penguins,2024-03-06 00:00:00,['NHL CENTER ICE']
cbj,"Tue, Mar 12",Montreal Canadiens,2024-03-12 23:00:00,['NHL CENTER ICE']
cbj,"Sat, Mar 9",Nashville Predators,2024-03-09 17:30:00,['NHL CENTER ICE']
cbj,"Sat, Mar 16",San Jose Sharks,2024-03-16 23:00:00,['NHL CENTER ICE']
cbj,"Thu, Mar 14",Ottawa Senators,2024-03-14 23:00:00,['NHL CENTER ICE']
cbj,"Tue, Mar 19",Detroit Red Wings,2024-03-19 23:00:00,['NHL CENTER ICE']
cbj,"Sun, Mar 17",Winnipeg Jets,2024-03-17 22:00:00,['NHL CENTER ICE']
cbj,"Sat, Mar 23",Vegas Golden Knights,2024-03-24 02:30:00,['NHL CENTER ICE']
cbj,"Fri, Mar 22",Colorado Avalanche,2024-03-23 01:00:00,['NHL CENTER ICE']
