team,date,opponent,time,channel
cgy,"Wed, Oct 11",Winnipeg Jets,invalid time,['NHL CENTER ICE']
cgy,"Sat, Oct 14",Pittsburgh Penguins,invalid time,['NHL CENTER ICE']
cgy,"Mon, Oct 16",Washington Capitals,invalid time,['NHL CENTER ICE']
cgy,"Thu, Oct 19",Buffalo Sabres,invalid time,['NHL CENTER ICE']
cgy,"Fri, Oct 20",Columbus Blue Jackets,invalid time,['NHL CENTER ICE']
cgy,"Thu, Oct 26",St Louis Blues,2023-10-27 01:00:00,['NHLPP|ESPN+']
cgy,DATE,New York Rangers,invalid time,['NHL CENTER ICE']
cgy,"Wed, Nov 1",Dallas Stars,2023-11-02 00:30:00,['NHLPP|ESPN+']
cgy,"Tue, Oct 24",New York Rangers,2023-10-25 01:45:00,['NHLPP|ESPN+']
cgy,"Tue, Nov 7",Nashville Predators,2023-11-08 02:00:00,['NHL CENTER ICE']
cgy,"Sun, Oct 29",Edmonton Oilers,2023-10-29 23:00:00,['TBS']
cgy,"Sat, Nov 11",Ottawa Senators,2023-11-12 00:00:00,['NHL CENTER ICE']
cgy,"Sat, Nov 4",Seattle Kraken,2023-11-05 02:00:00,['NHLPP|ESPN+']
cgy,"Thu, Nov 16",Vancouver Canucks,2023-11-17 02:00:00,['NHL CENTER ICE']
cgy,"Fri, Nov 10",Toronto Maple Leafs,2023-11-11 00:00:00,['NHL CENTER ICE']
cgy,"Mon, Nov 20",Seattle Kraken,2023-11-21 03:00:00,['NHL CENTER ICE']
cgy,"Tue, Nov 14",Montreal Canadiens,2023-11-15 00:00:00,['NHL CENTER ICE']
cgy,"Fri, Nov 24",Dallas Stars,2023-11-25 01:00:00,['NHL CENTER ICE']
cgy,"Sat, Nov 18",New York Islanders,2023-11-19 00:00:00,['NHL CENTER ICE']
cgy,"Mon, Nov 27",Vegas Golden Knights,2023-11-28 02:30:00,['NHL CENTER ICE']
cgy,"Wed, Nov 22",Nashville Predators,2023-11-23 02:00:00,['NHL CENTER ICE']
cgy,"Sat, Dec 2",Vancouver Canucks,2023-12-03 03:00:00,['NHL CENTER ICE']
cgy,"Sat, Nov 25",Colorado Avalanche,2023-11-26 03:00:00,['NHL CENTER ICE']
cgy,"Thu, Dec 7",Carolina Hurricanes,2023-12-08 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Nov 30",Dallas Stars,2023-12-01 02:00:00,['NHL CENTER ICE']
cgy,"Mon, Dec 11",Colorado Avalanche,2023-12-12 02:30:00,['NHL CENTER ICE']
cgy,"Tue, Dec 5",Minnesota Wild,2023-12-06 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Dec 14",Minnesota Wild,2023-12-15 01:00:00,['NHL CENTER ICE']
cgy,"Sat, Dec 9",New Jersey Devils,2023-12-09 21:00:00,['NHL CENTER ICE']
cgy,"Mon, Dec 18",Florida Panthers,2023-12-19 02:30:00,['NHL CENTER ICE']
cgy,"Tue, Dec 12",Vegas Golden Knights,2023-12-13 03:00:00,['NHL CENTER ICE']
cgy,"Sat, Dec 23",Los Angeles Kings,2023-12-24 03:00:00,['NHL CENTER ICE']
cgy,"Sat, Dec 16",Tampa Bay Lightning,2023-12-17 03:00:00,['NHL CENTER ICE']
cgy,"Sun, Dec 31",Philadelphia Flyers,2024-01-01 01:00:00,['NHL CENTER ICE']
cgy,"Thu, Dec 21",Anaheim Ducks,2023-12-22 03:00:00,['NHL CENTER ICE']
cgy,"Thu, Jan 4",Nashville Predators,2024-01-05 01:00:00,['NHL CENTER ICE']
cgy,"Wed, Dec 27",Seattle Kraken,2023-12-28 02:30:00,['NHL CENTER ICE']
cgy,"Sun, Jan 7",Chicago Blackhawks,2024-01-07 20:00:00,['NHL CENTER ICE']
cgy,"Tue, Jan 2",Minnesota Wild,2024-01-03 01:00:00,['NHL CENTER ICE']
cgy,"Thu, Jan 11",Arizona Coyotes,2024-01-12 02:00:00,['NHL CENTER ICE']
cgy,"Sat, Jan 6",Philadelphia Flyers,2024-01-06 18:00:00,['NHL CENTER ICE']
cgy,"Tue, Jan 16",Arizona Coyotes,2024-01-17 02:00:00,['NHL CENTER ICE']
cgy,"Tue, Jan 9",Ottawa Senators,2024-01-10 02:00:00,['NHL CENTER ICE']
cgy,"Sat, Jan 20",Edmonton Oilers,2024-01-21 03:00:00,['NHL CENTER ICE']
cgy,"Sat, Jan 13",Vegas Golden Knights,2024-01-14 03:00:00,['NHL CENTER ICE']
cgy,"Thu, Jan 25",Columbus Blue Jackets,2024-01-26 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Jan 18",Toronto Maple Leafs,2024-01-19 02:00:00,['NHL CENTER ICE']
cgy,"Tue, Feb 6",Boston Bruins,2024-02-07 00:00:00,['NHL CENTER ICE']
cgy,"Tue, Jan 23",St Louis Blues,2024-01-24 02:00:00,['NHL CENTER ICE']
cgy,"Sat, Feb 10",New York Islanders,2024-02-10 18:00:00,['NHL CENTER ICE']
cgy,"Sat, Jan 27",Chicago Blackhawks,2024-01-28 03:00:00,['NHL CENTER ICE']
cgy,"Thu, Feb 15",San Jose Sharks,2024-02-16 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Feb 8",New Jersey Devils,2024-02-09 00:00:00,['NHL CENTER ICE']
cgy,"Mon, Feb 19",Winnipeg Jets,2024-02-19 21:00:00,['NHL CENTER ICE']
cgy,"Mon, Feb 12",New York Rangers,2024-02-13 00:00:00,['NHL CENTER ICE']
cgy,"Sat, Feb 24",Edmonton Oilers,2024-02-25 03:00:00,['NHL CENTER ICE']
cgy,"Sat, Feb 17",Detroit Red Wings,2024-02-17 21:00:00,['NHL CENTER ICE']
cgy,"Sat, Mar 2",Pittsburgh Penguins,2024-03-03 03:00:00,['NHL CENTER ICE']
cgy,"Thu, Feb 22",Boston Bruins,2024-02-23 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Mar 7",Tampa Bay Lightning,2024-03-08 00:00:00,['NHL CENTER ICE']
cgy,"Tue, Feb 27",Los Angeles Kings,2024-02-28 02:00:00,['NHL CENTER ICE']
cgy,"Sun, Mar 10",Carolina Hurricanes,2024-03-10 21:00:00,['NHL CENTER ICE']
cgy,"Mon, Mar 4",Seattle Kraken,2024-03-05 02:30:00,['NHL CENTER ICE']
cgy,"Thu, Mar 14",Vegas Golden Knights,2024-03-15 01:00:00,['NHL CENTER ICE']
cgy,"Sat, Mar 9",Florida Panthers,2024-03-09 21:00:00,['NHL CENTER ICE']
cgy,"Mon, Mar 18",Washington Capitals,2024-03-19 00:30:00,['NHL CENTER ICE']
cgy,"Tue, Mar 12",Colorado Avalanche,2024-03-13 01:00:00,['NHL CENTER ICE']
cgy,"Sun, Mar 24",Buffalo Sabres,2024-03-25 01:00:00,['NHL CENTER ICE']
cgy,"Sat, Mar 16",Montreal Canadiens,2024-03-16 23:00:00,['NHL CENTER ICE']
cgy,"Thu, Mar 28",St Louis Blues,2024-03-29 00:00:00,['NHL CENTER ICE']
cgy,"Sat, Mar 23",Vancouver Canucks,2024-03-24 02:00:00,['NHL CENTER ICE']
cgy,"Tue, Apr 2",Anaheim Ducks,2024-04-03 01:00:00,['NHL CENTER ICE']
cgy,"Tue, Mar 26",Chicago Blackhawks,2024-03-27 00:30:00,['NHL CENTER ICE']
cgy,"Sat, Apr 6",Edmonton Oilers,2024-04-07 02:00:00,['NHL CENTER ICE']
cgy,"Sat, Mar 30",Los Angeles Kings,2024-03-31 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Apr 11",Los Angeles Kings,2024-04-12 02:30:00,['NHL CENTER ICE']
cgy,"Thu, Apr 4",Winnipeg Jets,2024-04-05 00:00:00,['NHL CENTER ICE']
cgy,"Sun, Apr 14",Arizona Coyotes,2024-04-15 00:00:00,['NHL CENTER ICE']
cgy,"Fri, Apr 12",Anaheim Ducks,2024-04-13 02:00:00,['NHL CENTER ICE']
cgy,"Thu, Apr 18",San Jose Sharks,2024-04-19 01:00:00,['NHL CENTER ICE']
