team,date,opponent,time,channel
chi,"Tue, Oct 10",Pittsburgh Penguins,invalid time,['NHL CENTER ICE']
chi,"Wed, Oct 11",Boston Bruins,invalid time,['NHL CENTER ICE']
chi,"Sat, Oct 14",Montreal Canadiens,invalid time,['NHL CENTER ICE']
chi,"Mon, Oct 16",Toronto Maple Leafs,invalid time,['NHL CENTER ICE']
chi,"Thu, Oct 19",Colorado Avalanche,invalid time,['NHL CENTER ICE']
chi,"Fri, Oct 27",Vegas Golden Knights,2023-10-27 22:00:00,['NHL NET']
chi,DATE,Boston Bruins,invalid time,['NHL CENTER ICE']
chi,"Sat, Nov 4",Florida Panthers,2023-11-05 00:00:00,['NHLPP|ESPN+']
chi,"Tue, Oct 24",Boston Bruins,2023-10-25 00:30:00,"['ESPN', 'ESPN+']"
chi,"Thu, Nov 9",Tampa Bay Lightning,2023-11-10 00:00:00,['NHL CENTER ICE']
chi,"Mon, Oct 30",Arizona Coyotes,2023-10-31 02:00:00,['NHLPP|ESPN+']
chi,"Thu, Nov 16",Tampa Bay Lightning,2023-11-17 01:00:00,"['ESPN+', 'HULU']"
chi,"Sun, Nov 5",New Jersey Devils,2023-11-06 00:00:00,['NHL NET']
chi,"Sun, Nov 19",Buffalo Sabres,2023-11-20 00:00:00,['NHL CENTER ICE']
chi,"Sun, Nov 12",Florida Panthers,2023-11-12 18:00:00,['NHL CENTER ICE']
chi,"Fri, Nov 24",Toronto Maple Leafs,2023-11-24 19:00:00,['NHL CENTER ICE']
chi,"Sat, Nov 18",Nashville Predators,2023-11-19 01:00:00,['NHL CENTER ICE']
chi,"Tue, Nov 28",Seattle Kraken,2023-11-29 01:30:00,['NHL CENTER ICE']
chi,"Wed, Nov 22",Columbus Blue Jackets,2023-11-23 00:00:00,['NHL CENTER ICE']
chi,"Sat, Dec 2",Winnipeg Jets,2023-12-02 20:00:00,['NHL CENTER ICE']
chi,"Sun, Nov 26",St Louis Blues,2023-11-26 19:00:00,['NHL CENTER ICE']
chi,"Tue, Dec 5",Nashville Predators,2023-12-06 01:30:00,['NHL CENTER ICE']
chi,"Thu, Nov 30",Detroit Red Wings,2023-12-01 00:00:00,['NHL CENTER ICE']
chi,"Sat, Dec 9",St Louis Blues,2023-12-10 01:00:00,['NHL CENTER ICE']
chi,"Sun, Dec 3",Minnesota Wild,2023-12-03 19:00:00,['NHL CENTER ICE']
chi,"Tue, Dec 12",Edmonton Oilers,2023-12-13 03:00:00,['ESPN']
chi,"Thu, Dec 7",Anaheim Ducks,2023-12-08 01:30:00,['NHL CENTER ICE']
chi,"Sun, Dec 17",Vancouver Canucks,2023-12-17 20:00:00,['NHL CENTER ICE']
chi,"Sun, Dec 10",Washington Capitals,2023-12-11 00:00:00,['NHL CENTER ICE']
chi,"Fri, Dec 22",Montreal Canadiens,2023-12-23 01:30:00,['NHL CENTER ICE']
chi,"Thu, Dec 14",Seattle Kraken,2023-12-15 03:00:00,['NHL CENTER ICE']
