team,date,opponent,time,channel
col,"Wed, Oct 11",Los Angeles Kings,invalid time,['NHL CENTER ICE']
col,"Sat, Oct 14",San Jose Sharks,invalid time,['NHL CENTER ICE']
col,"Tue, Oct 17",Seattle Kraken,invalid time,['NHL CENTER ICE']
col,"Thu, Oct 19",Chicago Blackhawks,invalid time,['NHL CENTER ICE']
col,DATE,New York Islanders,invalid time,['NHL CENTER ICE']
col,"Thu, Oct 26",Pittsburgh Penguins,2023-10-26 23:00:00,['NHLPP|ESPN+']
col,"Tue, Oct 24",New York Islanders,2023-10-25 00:00:00,['NHLPP|ESPN+']
col,"Wed, Nov 1",St Louis Blues,2023-11-02 01:30:00,['TNT']
col,"Sun, Oct 29",Buffalo Sabres,2023-10-29 17:00:00,['NHLPP|ESPN+']
col,"Tue, Nov 7",New Jersey Devils,2023-11-08 03:00:00,['TNT']
col,"Sat, Nov 4",Vegas Golden Knights,2023-11-05 02:00:00,['NHLPP|ESPN+']
col,"Sat, Nov 11",St Louis Blues,2023-11-12 02:00:00,['NHL CENTER ICE']
col,"Thu, Nov 9",Seattle Kraken,2023-11-10 02:00:00,['NHL CENTER ICE']
col,"Wed, Nov 15",Anaheim Ducks,2023-11-16 02:00:00,['NHL CENTER ICE']
col,"Mon, Nov 13",Seattle Kraken,2023-11-14 03:00:00,['NHL CENTER ICE']
col,"Mon, Nov 20",Nashville Predators,2023-11-21 01:00:00,['NHL CENTER ICE']
col,"Sat, Nov 18",Dallas Stars,2023-11-19 02:00:00,['NHL CENTER ICE']
col,"Fri, Nov 24",Minnesota Wild,2023-11-25 01:30:00,['TNT']
col,"Wed, Nov 22",Vancouver Canucks,2023-11-23 03:00:00,['NHL CENTER ICE']
col,"Mon, Nov 27",Tampa Bay Lightning,2023-11-28 02:00:00,['NHL CENTER ICE']
col,"Sat, Nov 25",Calgary Flames,2023-11-26 03:00:00,['NHL CENTER ICE']
col,"Sat, Dec 2",Anaheim Ducks,2023-12-03 03:00:00,['NHL CENTER ICE']
col,"Thu, Nov 30",Arizona Coyotes,2023-12-01 02:00:00,['NHL CENTER ICE']
col,"Tue, Dec 5",Anaheim Ducks,2023-12-06 02:00:00,['NHL CENTER ICE']
col,"Sun, Dec 3",Los Angeles Kings,2023-12-04 01:00:00,['NHL CENTER ICE']
col,"Sat, Dec 9",Philadelphia Flyers,2023-12-10 02:00:00,['NHL CENTER ICE']
col,"Thu, Dec 7",Winnipeg Jets,2023-12-08 02:00:00,['NHL CENTER ICE']
col,"Wed, Dec 13",Buffalo Sabres,2023-12-14 02:30:00,['TNT']
col,"Mon, Dec 11",Calgary Flames,2023-12-12 02:30:00,['NHL CENTER ICE']
