team,date,opponent,time,channel
dal,"Thu, Oct 12",St Louis Blues,invalid time,['NHL CENTER ICE']
dal,"Tue, Oct 17",Vegas Golden Knights,invalid time,['NHL CENTER ICE']
dal,"Thu, Oct 19",Anaheim Ducks,invalid time,['NHL CENTER ICE']
dal,"Thu, Oct 26",Toronto Maple Leafs,2023-10-27 00:00:00,['NHLPP|ESPN+']
dal,DATE,Pittsburgh Penguins,invalid time,['NHL CENTER ICE']
dal,"Wed, Nov 1",Calgary Flames,2023-11-02 00:30:00,['NHLPP|ESPN+']
dal,"Tue, Oct 24",Pittsburgh Penguins,2023-10-24 23:30:00,['NHLPP|ESPN+']
dal,"Sat, Nov 4",Vancouver Canucks,2023-11-05 02:00:00,['NHLPP|ESPN+']
dal,"Mon, Oct 30",Columbus Blue Jackets,2023-10-31 00:00:00,['NHLPP|ESPN+']
dal,"Thu, Nov 9",Columbus Blue Jackets,2023-11-10 00:30:00,"['ESPN+', 'HULU']"
dal,"Thu, Nov 2",Edmonton Oilers,2023-11-03 01:00:00,['NHLPP|ESPN+']
dal,"Sun, Nov 12",Minnesota Wild,2023-11-12 23:00:00,['NHL CENTER ICE']
dal,"Mon, Nov 6",Boston Bruins,2023-11-07 01:00:00,['NHL CENTER ICE']
dal,"Sat, Nov 18",Colorado Avalanche,2023-11-19 02:00:00,['NHL CENTER ICE']
dal,"Sat, Nov 11",Winnipeg Jets,2023-11-11 21:00:00,['NHL CENTER ICE']
dal,"Wed, Nov 22",Vegas Golden Knights,2023-11-23 02:30:00,['TNT']
dal,"Tue, Nov 14",Arizona Coyotes,2023-11-15 01:00:00,['NHL CENTER ICE']
dal,"Tue, Nov 28",Winnipeg Jets,2023-11-29 01:00:00,['NHL CENTER ICE']
dal,"Mon, Nov 20",New York Rangers,2023-11-21 01:00:00,['NHL CENTER ICE']
dal,"Sat, Dec 2",Tampa Bay Lightning,2023-12-02 19:00:00,['NHL CENTER ICE']
dal,"Fri, Nov 24",Calgary Flames,2023-11-25 01:00:00,['NHL CENTER ICE']
dal,"Wed, Dec 6",Florida Panthers,2023-12-07 00:00:00,['TNT']
dal,"Thu, Nov 30",Calgary Flames,2023-12-01 02:00:00,['NHL CENTER ICE']
dal,"Sat, Dec 9",Vegas Golden Knights,2023-12-09 21:00:00,['NHL CENTER ICE']
dal,"Mon, Dec 4",Tampa Bay Lightning,2023-12-05 00:00:00,['NHL CENTER ICE']
dal,"Fri, Dec 15",Ottawa Senators,2023-12-16 01:00:00,['NHL CENTER ICE']
dal,"Thu, Dec 7",Washington Capitals,2023-12-08 01:00:00,['ESPN']
dal,"Mon, Dec 18",Seattle Kraken,2023-12-19 01:00:00,['NHL CENTER ICE']
dal,"Mon, Dec 11",Detroit Red Wings,2023-12-12 01:00:00,['NHL CENTER ICE']
dal,"Sat, Dec 23",Nashville Predators,2023-12-23 20:00:00,['NHL CENTER ICE']
dal,"Sat, Dec 16",St Louis Blues,2023-12-17 01:00:00,['NHL CENTER ICE']
dal,"Fri, Dec 29",Chicago Blackhawks,2023-12-30 01:00:00,['NHL CENTER ICE']
dal,"Thu, Dec 21",Vancouver Canucks,2023-12-22 01:00:00,['NHL CENTER ICE']
dal,"Tue, Jan 2",Montreal Canadiens,2024-01-03 01:00:00,['NHL CENTER ICE']
dal,"Wed, Dec 27",St Louis Blues,2023-12-28 01:00:00,['NHL CENTER ICE']
dal,"Sat, Jan 6",Nashville Predators,2024-01-07 01:00:00,['NHL CENTER ICE']
dal,"Sun, Dec 31",Chicago Blackhawks,2024-01-01 01:00:00,['NHL CENTER ICE']
dal,"Wed, Jan 10",Minnesota Wild,2024-01-11 00:30:00,['TNT']
dal,"Thu, Jan 4",Colorado Avalanche,2024-01-05 01:00:00,['NHL CENTER ICE']
dal,"Sat, Jan 13",Chicago Blackhawks,2024-01-14 01:00:00,['NHL CENTER ICE']
dal,"Mon, Jan 8",Minnesota Wild,2024-01-09 01:00:00,['NHL CENTER ICE']
dal,"Thu, Jan 18",Philadelphia Flyers,2024-01-19 00:00:00,['NHL CENTER ICE']
dal,"Fri, Jan 12",Nashville Predators,2024-01-13 01:00:00,['NHL CENTER ICE']
dal,"Sun, Jan 21",New York Islanders,2024-01-22 00:30:00,['NHL CENTER ICE']
dal,"Tue, Jan 16",Los Angeles Kings,2024-01-17 01:00:00,"['ESPN+', 'HULU']"
dal,"Thu, Jan 25",Anaheim Ducks,2024-01-26 01:00:00,['NHL CENTER ICE']
dal,"Sat, Jan 20",New Jersey Devils,2024-01-21 00:00:00,['NHL CENTER ICE']
dal,"Tue, Feb 6",Buffalo Sabres,2024-02-07 00:00:00,['NHL CENTER ICE']
dal,"Tue, Jan 23",Detroit Red Wings,2024-01-24 00:00:00,['NHL CENTER ICE']
dal,"Sat, Feb 10",Montreal Canadiens,2024-02-10 18:00:00,['NHL CENTER ICE']
dal,"Sat, Jan 27",Washington Capitals,2024-01-27 19:00:00,['NHL CENTER ICE']
dal,"Thu, Feb 15",Nashville Predators,2024-02-16 02:00:00,['ESPN']
dal,"Wed, Feb 7",Toronto Maple Leafs,2024-02-08 00:00:00,['NHL CENTER ICE']
dal,"Mon, Feb 19",Boston Bruins,2024-02-19 18:00:00,['NHL CENTER ICE']
dal,"Tue, Feb 13",Carolina Hurricanes,2024-02-14 01:00:00,['NHL CENTER ICE']
dal,"Thu, Feb 22",Ottawa Senators,2024-02-23 00:00:00,['NHL CENTER ICE']
dal,"Sat, Feb 17",Edmonton Oilers,2024-02-17 20:00:00,"['ABC', 'ESPN+']"
dal,"Mon, Feb 26",New York Islanders,2024-02-27 01:00:00,['NHL CENTER ICE']
dal,"Tue, Feb 20",New York Rangers,2024-02-21 00:00:00,['NHL CENTER ICE']
dal,"Thu, Feb 29",Winnipeg Jets,2024-03-01 01:00:00,['NHL CENTER ICE']
dal,"Sat, Feb 24",Carolina Hurricanes,2024-02-25 01:00:00,['NHL CENTER ICE']
dal,"Tue, Mar 5",San Jose Sharks,2024-03-06 03:30:00,['NHL CENTER ICE']
dal,"Tue, Feb 27",Colorado Avalanche,2024-02-28 02:30:00,"['ESPN+', 'HULU']"
dal,"Sat, Mar 9",Los Angeles Kings,2024-03-10 03:30:00,['NHL CENTER ICE']
dal,"Sat, Mar 2",San Jose Sharks,2024-03-03 01:00:00,['NHL CENTER ICE']
dal,"Thu, Mar 14",New Jersey Devils,2024-03-15 00:00:00,['NHL CENTER ICE']
dal,"Fri, Mar 8",Anaheim Ducks,2024-03-09 03:00:00,['NHL CENTER ICE']
dal,"Wed, Mar 20",Arizona Coyotes,2024-03-21 00:00:00,['NHL CENTER ICE']
dal,"Tue, Mar 12",Florida Panthers,2024-03-13 00:00:00,['NHL CENTER ICE']
dal,"Sun, Mar 24",Arizona Coyotes,2024-03-25 00:00:00,['NHL CENTER ICE']
dal,"Sat, Mar 16",Los Angeles Kings,2024-03-17 00:00:00,['NHL CENTER ICE']
dal,"Thu, Mar 28",Vancouver Canucks,2024-03-29 02:00:00,['NHL CENTER ICE']
dal,"Fri, Mar 22",Pittsburgh Penguins,2024-03-23 00:00:00,['NHL CENTER ICE']
dal,"Wed, Apr 3",Edmonton Oilers,2024-04-04 01:00:00,['NHL CENTER ICE']
dal,"Tue, Mar 26",San Jose Sharks,2024-03-27 02:30:00,['NHL CENTER ICE']
dal,"Sun, Apr 7",Colorado Avalanche,2024-04-08 02:00:00,['ESPN']
dal,"Sat, Mar 30",Seattle Kraken,2024-03-31 02:00:00,['NHL CENTER ICE']
