team,date,opponent,time,channel
det,"Thu, Oct 12",New Jersey Devils,invalid time,['NHL CENTER ICE']
det,"Sat, Oct 14",Tampa Bay Lightning,invalid time,['NHL CENTER ICE']
det,"Mon, Oct 16",Columbus Blue Jackets,invalid time,['NHL CENTER ICE']
det,"Wed, Oct 18",Pittsburgh Penguins,invalid time,['NHL CENTER ICE']
det,"Sat, Oct 21",Ottawa Senators,invalid time,['NHL CENTER ICE']
det,"Thu, Oct 26",Winnipeg Jets,2023-10-26 23:00:00,['NHLPP|ESPN+']
det,DATE,Seattle Kraken,invalid time,['NHL CENTER ICE']
det,"Mon, Oct 30",New York Islanders,2023-10-30 23:30:00,['NHLPP|ESPN+']
det,"Tue, Oct 24",Seattle Kraken,2023-10-25 00:15:00,['NHLPP|ESPN+']
det,"Sat, Nov 4",Boston Bruins,2023-11-04 23:00:00,['NHLPP|ESPN+']
det,"Sat, Oct 28",Boston Bruins,2023-10-28 23:00:00,['NHLPP|ESPN+']
det,"Thu, Nov 9",Montreal Canadiens,2023-11-10 00:00:00,['NHL CENTER ICE']
det,"Thu, Nov 2",Florida Panthers,2023-11-02 23:00:00,['NHLPP|ESPN+']
det,"Thu, Nov 16",Ottawa Senators,2023-11-16 18:00:00,['NHL CENTER ICE']
det,"Tue, Nov 7",New York Rangers,2023-11-08 00:30:00,['TNT']
det,"Wed, Nov 22",New Jersey Devils,2023-11-23 00:00:00,['NHL CENTER ICE']
det,"Sat, Nov 11",Columbus Blue Jackets,2023-11-11 18:00:00,['NHL CENTER ICE']
det,"Sun, Nov 26",Minnesota Wild,2023-11-26 18:00:00,['NHL CENTER ICE']
det,"Fri, Nov 17",Toronto Maple Leafs,2023-11-17 19:00:00,['NHL CENTER ICE']
det,"Thu, Nov 30",Chicago Blackhawks,2023-12-01 00:00:00,['NHL CENTER ICE']
det,"Fri, Nov 24",Boston Bruins,2023-11-24 18:00:00,['NHL CENTER ICE']
det,"Tue, Dec 5",Buffalo Sabres,2023-12-06 00:30:00,"['ESPN+', 'HULU']"
det,"Wed, Nov 29",New York Rangers,2023-11-30 00:30:00,['TNT']
det,"Sat, Dec 9",Ottawa Senators,2023-12-10 00:00:00,['NHL CENTER ICE']
det,"Sat, Dec 2",Montreal Canadiens,2023-12-03 00:00:00,['NHL CENTER ICE']
det,"Tue, Dec 12",St Louis Blues,2023-12-13 00:30:00,['ESPN']
det,"Thu, Dec 7",San Jose Sharks,2023-12-08 00:00:00,['NHL CENTER ICE']
det,"Sat, Dec 16",Philadelphia Flyers,2023-12-17 00:00:00,['NHL CENTER ICE']
det,"Mon, Dec 11",Dallas Stars,2023-12-12 01:00:00,['NHL CENTER ICE']
det,"Wed, Dec 20",Winnipeg Jets,2023-12-21 00:30:00,['NHL CENTER ICE']
det,"Thu, Dec 14",Carolina Hurricanes,2023-12-15 00:30:00,"['ESPN+', 'HULU']"
det,"Sat, Dec 23",New Jersey Devils,2023-12-24 00:00:00,['NHL CENTER ICE']
det,"Mon, Dec 18",Anaheim Ducks,2023-12-19 00:00:00,['NHL CENTER ICE']
det,"Fri, Dec 29",Nashville Predators,2023-12-30 00:00:00,['NHL CENTER ICE']
det,"Fri, Dec 22",Philadelphia Flyers,2023-12-23 00:00:00,['NHL CENTER ICE']
det,"Tue, Jan 2",San Jose Sharks,2024-01-03 03:30:00,['NHL CENTER ICE']
det,"Wed, Dec 27",Minnesota Wild,2023-12-28 01:00:00,['NHL CENTER ICE']
det,"Sun, Jan 7",Anaheim Ducks,2024-01-08 01:00:00,['NHL CENTER ICE']
det,"Sun, Dec 31",Boston Bruins,2023-12-31 22:00:00,['NHL CENTER ICE']
det,"Sat, Jan 13",Los Angeles Kings,2024-01-14 00:00:00,['NHL CENTER ICE']
det,"Thu, Jan 4",Los Angeles Kings,2024-01-05 03:30:00,['NHL CENTER ICE']
det,"Wed, Jan 17",Florida Panthers,2024-01-18 00:00:00,['NHL CENTER ICE']
det,"Thu, Jan 11",Edmonton Oilers,2024-01-12 00:00:00,['NHL CENTER ICE']
det,"Sun, Jan 21",Tampa Bay Lightning,2024-01-21 22:00:00,['NHL CENTER ICE']
det,"Sun, Jan 14",Toronto Maple Leafs,2024-01-15 00:00:00,['NHL CENTER ICE']
det,"Thu, Jan 25",Philadelphia Flyers,2024-01-26 00:00:00,['NHL CENTER ICE']
det,"Fri, Jan 19",Carolina Hurricanes,2024-01-20 00:00:00,['NHL CENTER ICE']
det,"Wed, Jan 31",Ottawa Senators,2024-02-01 00:00:00,['NHL CENTER ICE']
det,"Tue, Jan 23",Dallas Stars,2024-01-24 00:00:00,['NHL CENTER ICE']
det,"Tue, Feb 13",Edmonton Oilers,2024-02-14 02:00:00,['NHL CENTER ICE']
det,"Sat, Jan 27",Vegas Golden Knights,2024-01-28 00:00:00,['NHL CENTER ICE']
det,"Sat, Feb 17",Calgary Flames,2024-02-17 21:00:00,['NHL CENTER ICE']
det,"Sat, Feb 10",Vancouver Canucks,2024-02-10 18:00:00,['NHL CENTER ICE']
det,"Thu, Feb 22",Colorado Avalanche,2024-02-23 00:00:00,['NHL CENTER ICE']
det,"Thu, Feb 15",Vancouver Canucks,2024-02-16 03:00:00,['NHL CENTER ICE']
det,"Sun, Feb 25",Chicago Blackhawks,2024-02-25 23:00:00,['NHL CENTER ICE']
det,"Mon, Feb 19",Seattle Kraken,2024-02-19 20:30:00,['ESPN']
det,"Thu, Feb 29",New York Islanders,2024-03-01 00:00:00,['NHL CENTER ICE']
det,"Sat, Feb 24",St Louis Blues,2024-02-24 17:00:00,"['ABC', 'ESPN+']"
det,"Wed, Mar 6",Colorado Avalanche,2024-03-07 02:30:00,['TNT']
det,"Tue, Feb 27",Washington Capitals,2024-02-28 00:00:00,['NHL CENTER ICE']
det,"Sat, Mar 9",Vegas Golden Knights,2024-03-10 03:00:00,['NHL CENTER ICE']
det,"Sat, Mar 2",Florida Panthers,2024-03-03 00:00:00,['NHL CENTER ICE']
det,"Thu, Mar 14",Arizona Coyotes,2024-03-14 23:00:00,['NHL CENTER ICE']
det,"Fri, Mar 8",Arizona Coyotes,2024-03-09 02:00:00,['NHL CENTER ICE']
det,"Sun, Mar 17",Pittsburgh Penguins,2024-03-17 22:00:00,['NHL CENTER ICE']
det,"Tue, Mar 12",Buffalo Sabres,2024-03-12 23:00:00,['NHL CENTER ICE']
det,"Thu, Mar 21",New York Islanders,2024-03-21 23:00:00,['NHL CENTER ICE']
det,"Sat, Mar 16",Buffalo Sabres,2024-03-16 16:30:00,['NHL CENTER ICE']
det,"Tue, Mar 26",Washington Capitals,2024-03-26 23:00:00,['NHL CENTER ICE']
det,"Tue, Mar 19",Columbus Blue Jackets,2024-03-19 23:00:00,['NHL CENTER ICE']
det,"Sat, Mar 30",Florida Panthers,2024-03-30 16:30:00,['NHL CENTER ICE']
det,"Sat, Mar 23",Nashville Predators,2024-03-23 21:00:00,['NHL CENTER ICE']
det,"Fri, Apr 5",New York Rangers,2024-04-05 23:00:00,['NHL CENTER ICE']
det,"Thu, Mar 28",Carolina Hurricanes,2024-03-28 23:30:00,"['ESPN+', 'HULU']"
det,"Tue, Apr 9",Washington Capitals,2024-04-09 23:00:00,['ESPN']
det,"Mon, Apr 1",Tampa Bay Lightning,2024-04-01 23:00:00,['NHL CENTER ICE']
det,"Sat, Apr 13",Toronto Maple Leafs,2024-04-13 23:00:00,['NHL CENTER ICE']
det,"Thu, Apr 11",Pittsburgh Penguins,2024-04-11 23:00:00,['NHL CENTER ICE']
det,"Tue, Apr 16",Montreal Canadiens,2024-04-16 23:00:00,['NHL CENTER ICE']
