team,date,opponent,time,channel
edm,"Wed, Oct 11",Vancouver Canucks,invalid time,['NHL CENTER ICE']
edm,"Sat, Oct 14",Vancouver Canucks,invalid time,['NHL CENTER ICE']
edm,"Tue, Oct 17",Nashville Predators,invalid time,['NHL CENTER ICE']
edm,"Thu, Oct 19",Philadelphia Flyers,invalid time,['NHL CENTER ICE']
edm,DATE,Minnesota Wild,invalid time,['NHL CENTER ICE']
edm,"Thu, Oct 26",New York Rangers,2023-10-27 01:00:00,['NHLPP|ESPN+']
edm,"Tue, Oct 24",Minnesota Wild,2023-10-25 01:00:00,['NHLPP|ESPN+']
edm,"Thu, Nov 2",Dallas Stars,2023-11-03 01:00:00,['NHLPP|ESPN+']
edm,"Sun, Oct 29",Calgary Flames,2023-10-29 23:00:00,['TBS']
edm,"Mon, Nov 6",Vancouver Canucks,2023-11-07 03:00:00,['NHL CENTER ICE']
edm,"Sat, Nov 4",Nashville Predators,2023-11-04 19:00:00,['NHL NET']
edm,"Sat, Nov 11",Seattle Kraken,2023-11-12 03:00:00,['NHL CENTER ICE']
edm,"Thu, Nov 9",San Jose Sharks,2023-11-10 03:30:00,"['ESPN+', 'HULU']"
edm,"Wed, Nov 15",Seattle Kraken,2023-11-16 01:30:00,['NHL CENTER ICE']
edm,"Mon, Nov 13",New York Islanders,2023-11-14 01:30:00,['NHL CENTER ICE']
edm,"Mon, Nov 20",Florida Panthers,2023-11-21 00:00:00,['NHL CENTER ICE']
edm,"Sat, Nov 18",Tampa Bay Lightning,2023-11-18 21:00:00,['NHL CENTER ICE']
edm,"Fri, Nov 24",Washington Capitals,2023-11-24 20:00:00,['NHL CENTER ICE']
edm,"Wed, Nov 22",Carolina Hurricanes,2023-11-23 00:00:00,['NHL CENTER ICE']
edm,"Tue, Nov 28",Vegas Golden Knights,2023-11-29 02:00:00,['NHL CENTER ICE']
edm,"Sun, Nov 26",Anaheim Ducks,2023-11-27 02:00:00,['NHL CENTER ICE']
edm,"Wed, Dec 6",Carolina Hurricanes,2023-12-07 02:30:00,['TNT']
edm,"Thu, Nov 30",Winnipeg Jets,2023-12-01 01:00:00,['NHL CENTER ICE']
edm,"Sun, Dec 10",New Jersey Devils,2023-12-10 21:00:00,['NHL CENTER ICE']
edm,"Fri, Dec 8",Minnesota Wild,2023-12-09 02:00:00,['NHL CENTER ICE']
