team,date,opponent,time,channel
fla,"Thu, Oct 12",Minnesota Wild,invalid time,['NHL CENTER ICE']
fla,"Sat, Oct 14",Winnipeg Jets,invalid time,['NHL CENTER ICE']
fla,"Mon, Oct 16",New Jersey Devils,invalid time,['NHL CENTER ICE']
fla,"Thu, Oct 19",Toronto Maple Leafs,invalid time,['NHL CENTER ICE']
fla,DATE,San Jose Sharks,invalid time,['NHL CENTER ICE']
fla,"Sat, Oct 28",Seattle Kraken,2023-10-28 22:00:00,['NHLPP|ESPN+']
fla,"Tue, Oct 24",San Jose Sharks,2023-10-24 23:45:00,['NHLPP|ESPN+']
fla,"Thu, Nov 2",Detroit Red Wings,2023-11-02 23:00:00,['NHLPP|ESPN+']
fla,"Mon, Oct 30",Boston Bruins,2023-10-30 23:00:00,['NHLPP|ESPN+']
fla,"Mon, Nov 6",Columbus Blue Jackets,2023-11-07 00:00:00,['NHL CENTER ICE']
fla,"Sat, Nov 4",Chicago Blackhawks,2023-11-05 00:00:00,['NHLPP|ESPN+']
fla,"Fri, Nov 10",Carolina Hurricanes,2023-11-11 00:00:00,['NHL CENTER ICE']
fla,"Wed, Nov 8",Washington Capitals,2023-11-09 00:30:00,['TNT']
fla,"Tue, Nov 14",San Jose Sharks,2023-11-15 03:30:00,"['ESPN+', 'HULU']"
fla,"Sun, Nov 12",Chicago Blackhawks,2023-11-12 18:00:00,['NHL CENTER ICE']
fla,"Fri, Nov 17",Anaheim Ducks,2023-11-18 03:00:00,['NHL CENTER ICE']
fla,"Thu, Nov 16",Los Angeles Kings,2023-11-17 03:30:00,['NHL CENTER ICE']
fla,"Wed, Nov 22",Boston Bruins,2023-11-23 00:00:00,['TNT']
fla,"Mon, Nov 20",Edmonton Oilers,2023-11-21 00:00:00,['NHL CENTER ICE']
fla,"Mon, Nov 27",Ottawa Senators,2023-11-28 00:00:00,['NHL CENTER ICE']
fla,"Fri, Nov 24",Winnipeg Jets,2023-11-25 01:00:00,['NHL CENTER ICE']
fla,"Thu, Nov 30",Montreal Canadiens,2023-12-01 00:00:00,['NHL CENTER ICE']
fla,"Tue, Nov 28",Toronto Maple Leafs,2023-11-29 00:00:00,['NHL CENTER ICE']
fla,"Wed, Dec 6",Dallas Stars,2023-12-07 00:00:00,['TNT']
fla,"Sat, Dec 2",New York Islanders,2023-12-02 23:00:00,['NHL CENTER ICE']
fla,"Sun, Dec 10",Columbus Blue Jackets,2023-12-10 18:00:00,['NHL CENTER ICE']
fla,"Fri, Dec 8",Pittsburgh Penguins,2023-12-09 00:00:00,['NHL CENTER ICE']
fla,"Thu, Dec 14",Vancouver Canucks,2023-12-15 03:00:00,['NHL CENTER ICE']
fla,"Tue, Dec 12",Seattle Kraken,2023-12-13 03:00:00,['NHL CENTER ICE']
fla,"Mon, Dec 18",Calgary Flames,2023-12-19 02:30:00,['NHL CENTER ICE']
fla,"Sat, Dec 16",Edmonton Oilers,2023-12-17 03:00:00,['NHL CENTER ICE']
fla,"Sat, Dec 23",Vegas Golden Knights,2023-12-23 20:00:00,['NHL CENTER ICE']
fla,"Thu, Dec 21",St Louis Blues,2023-12-22 00:00:00,['NHL CENTER ICE']
fla,"Fri, Dec 29",New York Rangers,2023-12-30 00:00:00,['NHL CENTER ICE']
fla,"Wed, Dec 27",Tampa Bay Lightning,2023-12-28 00:00:00,['NHL CENTER ICE']
fla,"Tue, Jan 2",Arizona Coyotes,2024-01-03 02:00:00,['NHL CENTER ICE']
fla,"Sat, Dec 30",Montreal Canadiens,2023-12-31 00:00:00,['NHL CENTER ICE']
