team,date,opponent,time,channel
la,"Wed, Oct 11",Colorado Avalanche,invalid time,['NHL CENTER ICE']
la,"Sat, Oct 14",Carolina Hurricanes,invalid time,['NHL CENTER ICE']
la,"Tue, Oct 17",Winnipeg Jets,invalid time,['NHL CENTER ICE']
la,"Thu, Oct 19",Minnesota Wild,invalid time,['NHL CENTER ICE']
la,DATE,Arizona Coyotes,invalid time,['NHL CENTER ICE']
la,"Fri, Oct 27",Arizona Coyotes,2023-10-28 02:00:00,['NHLPP|ESPN+']
la,"Tue, Oct 24",Arizona Coyotes,2023-10-25 02:30:00,['NHLPP|ESPN+']
la,"Tue, Oct 31",Toronto Maple Leafs,2023-11-01 00:00:00,['ESPN']
la,"Sat, Oct 28",Vegas Golden Knights,2023-10-29 02:30:00,['NHLPP|ESPN+']
la,"Sat, Nov 4",Philadelphia Flyers,2023-11-04 23:30:00,['NHLPP|ESPN+']
la,"Thu, Nov 2",Ottawa Senators,2023-11-02 23:00:00,['NHLPP|ESPN+']
la,"Thu, Nov 9",Pittsburgh Penguins,2023-11-10 03:30:00,['NHL CENTER ICE']
la,"Wed, Nov 8",Vegas Golden Knights,2023-11-09 03:00:00,['TNT']
la,"Thu, Nov 16",Florida Panthers,2023-11-17 03:30:00,['NHL CENTER ICE']
la,"Sat, Nov 11",Philadelphia Flyers,2023-11-12 03:30:00,['NHL CENTER ICE']
la,"Mon, Nov 20",Arizona Coyotes,2023-11-21 02:00:00,['NHL CENTER ICE']
la,"Sat, Nov 18",St Louis Blues,2023-11-19 03:30:00,['NHL CENTER ICE']
la,"Sat, Nov 25",Montreal Canadiens,2023-11-25 21:00:00,['NHL CENTER ICE']
la,"Fri, Nov 24",Anaheim Ducks,2023-11-24 21:00:00,['NHL CENTER ICE']
la,"Sun, Dec 3",Colorado Avalanche,2023-12-04 01:00:00,['NHL CENTER ICE']
la,"Wed, Nov 29",Washington Capitals,2023-11-30 03:30:00,['NHL CENTER ICE']
la,"Thu, Dec 7",Montreal Canadiens,2023-12-08 00:00:00,['NHL CENTER ICE']
la,"Tue, Dec 5",Columbus Blue Jackets,2023-12-06 00:00:00,['NHL CENTER ICE']
la,"Sun, Dec 10",New York Rangers,2023-12-11 00:00:00,['NHL CENTER ICE']
la,"Sat, Dec 9",New York Islanders,2023-12-10 00:30:00,['NHL CENTER ICE']
la,"Sat, Dec 16",Seattle Kraken,2023-12-17 03:00:00,['NHL CENTER ICE']
la,"Wed, Dec 13",Winnipeg Jets,2023-12-14 03:30:00,['NHL CENTER ICE']
la,"Wed, Dec 20",Seattle Kraken,2023-12-21 03:00:00,['TNT']
