team,date,opponent,time,channel
min,"Thu, Oct 12",Florida Panthers,invalid time,['NHL CENTER ICE']
min,"Sat, Oct 14",Toronto Maple Leafs,invalid time,['NHL CENTER ICE']
min,"Tue, Oct 17",Montreal Canadiens,invalid time,['NHL CENTER ICE']
min,"Thu, Oct 19",Los Angeles Kings,invalid time,['NHL CENTER ICE']
min,DATE,Edmonton Oilers,invalid time,['NHL CENTER ICE']
min,"Thu, Oct 26",Philadelphia Flyers,2023-10-26 23:30:00,"['ESPN+', 'HULU']"
min,"Tue, Oct 24",Edmonton Oilers,2023-10-25 01:00:00,['NHLPP|ESPN+']
min,"Sun, Oct 29",New Jersey Devils,2023-10-29 21:00:00,['NHLPP|ESPN+']
min,"Fri, Oct 27",Washington Capitals,2023-10-27 23:00:00,['NHLPP|ESPN+']
min,"Sat, Nov 4",New York Rangers,2023-11-05 00:00:00,['NHLPP|ESPN+']
min,"Thu, Nov 2",New Jersey Devils,2023-11-03 00:00:00,['NHLPP|ESPN+']
min,"Thu, Nov 9",New York Rangers,2023-11-10 00:00:00,['NHL CENTER ICE']
min,"Tue, Nov 7",New York Islanders,2023-11-08 00:30:00,['NHL CENTER ICE']
min,"Sun, Nov 12",Dallas Stars,2023-11-12 23:00:00,['NHL CENTER ICE']
min,"Fri, Nov 10",Buffalo Sabres,2023-11-11 00:00:00,['NHL CENTER ICE']
min,"Sun, Nov 19",Toronto Maple Leafs,2023-11-19 13:00:00,['NHL CENTER ICE']
min,"Sat, Nov 18",Ottawa Senators,2023-11-18 15:00:00,['NHL CENTER ICE']
min,"Sun, Nov 26",Detroit Red Wings,2023-11-26 18:00:00,['NHL CENTER ICE']
min,"Fri, Nov 24",Colorado Avalanche,2023-11-25 01:30:00,['TNT']
min,"Thu, Nov 30",Nashville Predators,2023-12-01 01:00:00,['NHL CENTER ICE']
min,"Tue, Nov 28",St Louis Blues,2023-11-29 01:00:00,['NHL CENTER ICE']
min,"Tue, Dec 5",Calgary Flames,2023-12-06 02:00:00,['NHL CENTER ICE']
min,"Sun, Dec 3",Chicago Blackhawks,2023-12-03 19:00:00,['NHL CENTER ICE']
min,"Fri, Dec 8",Edmonton Oilers,2023-12-09 02:00:00,['NHL CENTER ICE']
min,"Thu, Dec 7",Vancouver Canucks,2023-12-08 03:00:00,['NHL CENTER ICE']
min,"Thu, Dec 14",Calgary Flames,2023-12-15 01:00:00,['NHL CENTER ICE']
min,"Sun, Dec 10",Seattle Kraken,2023-12-11 02:00:00,['NHL CENTER ICE']
min,"Mon, Dec 18",Pittsburgh Penguins,2023-12-19 00:00:00,['NHL CENTER ICE']
min,"Sat, Dec 16",Vancouver Canucks,2023-12-16 21:00:00,['NHL CENTER ICE']
min,"Thu, Dec 21",Montreal Canadiens,2023-12-22 01:00:00,['NHL CENTER ICE']
min,"Tue, Dec 19",Boston Bruins,2023-12-20 00:00:00,['NHL CENTER ICE']
min,"Wed, Dec 27",Detroit Red Wings,2023-12-28 01:00:00,['NHL CENTER ICE']
min,"Sat, Dec 23",Boston Bruins,2023-12-24 00:00:00,['NHL CENTER ICE']
min,"Sun, Dec 31",Winnipeg Jets,2023-12-31 19:00:00,['NHL CENTER ICE']
