team,date,opponent,time,channel
mtl,"Wed, Oct 11",Toronto Maple Leafs,invalid time,['NHL CENTER ICE']
mtl,"Sat, Oct 14",Chicago Blackhawks,invalid time,['NHL CENTER ICE']
mtl,"Tue, Oct 17",Minnesota Wild,invalid time,['NHL CENTER ICE']
mtl,"Tue, Oct 24",New Jersey Devils,2023-10-24 23:15:00,['NHLPP|ESPN+']
mtl,DATE,Buffalo Sabres,invalid time,['NHL CENTER ICE']
mtl,"Sat, Oct 28",Winnipeg Jets,2023-10-28 23:00:00,['NHLPP|ESPN+']
mtl,"Mon, Oct 23",Buffalo Sabres,invalid time,['NHL NET']
mtl,"Thu, Nov 2",Arizona Coyotes,2023-11-03 02:00:00,['NHLPP|ESPN+']
mtl,"Thu, Oct 26",Columbus Blue Jackets,2023-10-26 23:00:00,['NHLPP|ESPN+']
mtl,"Tue, Nov 7",Tampa Bay Lightning,2023-11-08 00:00:00,['NHL CENTER ICE']
mtl,"Mon, Oct 30",Vegas Golden Knights,2023-10-31 02:00:00,['NHLPP|ESPN+']
mtl,"Sat, Nov 11",Boston Bruins,2023-11-12 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Nov 4",St Louis Blues,2023-11-04 23:00:00,['NHLPP|ESPN+']
mtl,"Tue, Nov 14",Calgary Flames,2023-11-15 00:00:00,['NHL CENTER ICE']
mtl,"Thu, Nov 9",Detroit Red Wings,2023-11-10 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Nov 18",Boston Bruins,2023-11-19 00:00:00,['NHL CENTER ICE']
mtl,"Sun, Nov 12",Vancouver Canucks,2023-11-13 00:00:00,['NHL CENTER ICE']
mtl,"Fri, Nov 24",San Jose Sharks,2023-11-24 20:30:00,['NHL CENTER ICE']
mtl,"Thu, Nov 16",Vegas Golden Knights,2023-11-17 00:00:00,['NHL CENTER ICE']
mtl,"Wed, Nov 29",Columbus Blue Jackets,2023-11-30 00:00:00,['NHL CENTER ICE']
mtl,"Wed, Nov 22",Anaheim Ducks,2023-11-23 03:00:00,['NHL CENTER ICE']
mtl,"Sat, Dec 2",Detroit Red Wings,2023-12-03 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Nov 25",Los Angeles Kings,2023-11-25 21:00:00,['NHL CENTER ICE']
mtl,"Thu, Dec 7",Los Angeles Kings,2023-12-08 00:00:00,['NHL CENTER ICE']
mtl,"Thu, Nov 30",Florida Panthers,2023-12-01 00:00:00,['NHL CENTER ICE']
mtl,"Sun, Dec 10",Nashville Predators,2023-12-11 00:00:00,['NHL CENTER ICE']
mtl,"Mon, Dec 4",Seattle Kraken,2023-12-05 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Dec 16",New York Islanders,2023-12-17 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Dec 9",Buffalo Sabres,2023-12-10 00:00:00,['NHL CENTER ICE']
mtl,"Thu, Dec 21",Minnesota Wild,2023-12-22 01:00:00,['NHL CENTER ICE']
mtl,"Wed, Dec 13",Pittsburgh Penguins,2023-12-14 00:00:00,['NHL CENTER ICE']
mtl,"Thu, Dec 28",Carolina Hurricanes,2023-12-29 00:00:00,['NHL CENTER ICE']
mtl,"Mon, Dec 18",Winnipeg Jets,2023-12-19 00:30:00,['NHL CENTER ICE']
mtl,"Sun, Dec 31",Tampa Bay Lightning,2024-01-01 00:00:00,['NHL CENTER ICE']
mtl,"Fri, Dec 22",Chicago Blackhawks,2023-12-23 01:30:00,['NHL CENTER ICE']
mtl,"Thu, Jan 4",Buffalo Sabres,2024-01-05 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Dec 30",Florida Panthers,2023-12-31 00:00:00,['NHL CENTER ICE']
mtl,"Wed, Jan 10",Philadelphia Flyers,2024-01-11 00:00:00,['NHL CENTER ICE']
mtl,"Tue, Jan 2",Dallas Stars,2024-01-03 01:00:00,['NHL CENTER ICE']
mtl,"Sat, Jan 13",Edmonton Oilers,2024-01-14 00:00:00,['NHL CENTER ICE']
mtl,"Sat, Jan 6",New York Rangers,2024-01-07 00:00:00,['NHL CENTER ICE']
mtl,"Wed, Jan 17",New Jersey Devils,2024-01-18 00:00:00,['NHL CENTER ICE']
