team,date,opponent,time,channel
nj,"Thu, Oct 12",Detroit Red Wings,invalid time,['NHL CENTER ICE']
nj,"Fri, Oct 13",Arizona Coyotes,invalid time,['NHL CENTER ICE']
nj,"Mon, Oct 16",Florida Panthers,invalid time,['NHL CENTER ICE']
nj,"Wed, Oct 25",Washington Capitals,2023-10-25 23:30:00,['TNT']
nj,DATE,Montreal Canadiens,invalid time,['NHL CENTER ICE']
nj,"Sun, Oct 29",Minnesota Wild,2023-10-29 21:00:00,['NHLPP|ESPN+']
nj,"Tue, Oct 24",Montreal Canadiens,2023-10-24 23:15:00,['NHLPP|ESPN+']
nj,"Fri, Nov 3",St Louis Blues,2023-11-04 00:00:00,['NHLPP|ESPN+']
nj,"Fri, Oct 27",Buffalo Sabres,2023-10-27 23:00:00,['NHLPP|ESPN+']
nj,"Tue, Nov 7",Colorado Avalanche,2023-11-08 03:00:00,['TNT']
nj,"Thu, Nov 2",Minnesota Wild,2023-11-03 00:00:00,['NHLPP|ESPN+']
nj,"Tue, Nov 14",Winnipeg Jets,2023-11-15 01:00:00,['NHL CENTER ICE']
nj,"Sun, Nov 5",Chicago Blackhawks,2023-11-06 00:00:00,['NHL NET']
nj,"Sat, Nov 18",New York Rangers,2023-11-19 00:00:00,['NHL CENTER ICE']
nj,"Fri, Nov 10",Washington Capitals,2023-11-11 00:00:00,['NHL CENTER ICE']
nj,"Fri, Nov 24",Columbus Blue Jackets,2023-11-25 00:00:00,['NHL CENTER ICE']
nj,"Thu, Nov 16",Pittsburgh Penguins,2023-11-17 00:00:00,['NHL CENTER ICE']
nj,"Tue, Nov 28",New York Islanders,2023-11-29 00:00:00,['NHL CENTER ICE']
nj,"Wed, Nov 22",Detroit Red Wings,2023-11-23 00:00:00,['NHL CENTER ICE']
nj,"Fri, Dec 1",San Jose Sharks,2023-12-02 00:00:00,['NHL CENTER ICE']
nj,"Sat, Nov 25",Buffalo Sabres,2023-11-26 00:00:00,['NHL CENTER ICE']
nj,"Thu, Dec 7",Seattle Kraken,2023-12-08 03:30:00,['ESPN']
nj,"Thu, Nov 30",Philadelphia Flyers,2023-12-01 00:00:00,['NHL CENTER ICE']
nj,"Sun, Dec 10",Edmonton Oilers,2023-12-10 21:00:00,['NHL CENTER ICE']
nj,"Tue, Dec 5",Vancouver Canucks,2023-12-06 03:00:00,['NHL CENTER ICE']
nj,"Sat, Dec 16",Columbus Blue Jackets,2023-12-17 00:00:00,['NHL CENTER ICE']
nj,"Sat, Dec 9",Calgary Flames,2023-12-09 21:00:00,['NHL CENTER ICE']
nj,"Tue, Dec 19",Philadelphia Flyers,2023-12-20 00:00:00,['NHL CENTER ICE']
nj,"Wed, Dec 13",Boston Bruins,2023-12-14 00:00:00,['TNT']
nj,"Sat, Dec 23",Detroit Red Wings,2023-12-24 00:00:00,['NHL CENTER ICE']
nj,"Sun, Dec 17",Anaheim Ducks,2023-12-18 00:00:00,['NHL CENTER ICE']
nj,"Fri, Dec 29",Ottawa Senators,2023-12-30 00:00:00,['NHL CENTER ICE']
nj,"Thu, Dec 21",Edmonton Oilers,2023-12-22 00:30:00,"['ESPN+', 'HULU']"
nj,"Wed, Jan 3",Washington Capitals,2024-01-04 00:30:00,['TNT']
nj,"Wed, Dec 27",Columbus Blue Jackets,2023-12-28 00:00:00,['NHL CENTER ICE']
nj,"Sat, Jan 6",Vancouver Canucks,2024-01-07 00:00:00,['NHL CENTER ICE']
nj,"Sat, Dec 30",Boston Bruins,2023-12-31 00:00:00,['NHL CENTER ICE']
nj,"Sat, Jan 13",Florida Panthers,2024-01-13 23:00:00,['NHL CENTER ICE']
nj,"Fri, Jan 5",Chicago Blackhawks,2024-01-06 00:00:00,['NHL CENTER ICE']
nj,"Wed, Jan 17",Montreal Canadiens,2024-01-18 00:00:00,['NHL CENTER ICE']
nj,"Thu, Jan 11",Tampa Bay Lightning,2024-01-12 00:00:00,['NHL CENTER ICE']
nj,"Sat, Jan 20",Dallas Stars,2024-01-21 00:00:00,['NHL CENTER ICE']
nj,"Mon, Jan 15",Boston Bruins,2024-01-15 18:00:00,['NHL CENTER ICE']
nj,"Thu, Jan 25",Carolina Hurricanes,2024-01-26 00:30:00,"['ESPN+', 'HULU']"
nj,"Fri, Jan 19",Columbus Blue Jackets,2024-01-20 00:00:00,['NHL CENTER ICE']
nj,"Tue, Feb 6",Colorado Avalanche,2024-02-07 00:30:00,"['ESPN+', 'HULU']"
nj,"Mon, Jan 22",Vegas Golden Knights,2024-01-23 00:00:00,['NHL CENTER ICE']
nj,"Sat, Feb 10",Carolina Hurricanes,2024-02-11 00:00:00,['NHL CENTER ICE']
nj,"Sat, Jan 27",Tampa Bay Lightning,2024-01-28 00:00:00,['NHL CENTER ICE']
nj,"Tue, Feb 13",Nashville Predators,2024-02-14 01:00:00,['NHL CENTER ICE']
nj,"Thu, Feb 8",Calgary Flames,2024-02-09 00:00:00,['NHL CENTER ICE']
nj,"Sat, Feb 17",Philadelphia Flyers,2024-02-18 01:00:00,"['ABC', 'ESPN+']"
nj,"Mon, Feb 12",Seattle Kraken,2024-02-13 00:00:00,['NHL CENTER ICE']
nj,"Thu, Feb 22",New York Rangers,2024-02-23 00:00:00,['NHL CENTER ICE']
nj,"Thu, Feb 15",Los Angeles Kings,2024-02-16 00:00:00,['NHL CENTER ICE']
nj,"Sun, Feb 25",Tampa Bay Lightning,2024-02-25 18:00:00,['TNT']
nj,"Tue, Feb 20",Washington Capitals,2024-02-21 00:00:00,['NHL CENTER ICE']
nj,"Fri, Mar 1",Anaheim Ducks,2024-03-02 03:00:00,['NHL CENTER ICE']
nj,"Sat, Feb 24",Montreal Canadiens,2024-02-24 17:30:00,['NHL CENTER ICE']
nj,"Tue, Mar 5",Florida Panthers,2024-03-06 00:00:00,['NHL CENTER ICE']
nj,"Tue, Feb 27",San Jose Sharks,2024-02-28 03:30:00,['NHL CENTER ICE']
nj,"Sat, Mar 9",Carolina Hurricanes,2024-03-09 17:30:00,['NHL CENTER ICE']
nj,"Sun, Mar 3",Los Angeles Kings,2024-03-03 20:30:00,['TNT']
nj,"Thu, Mar 14",Dallas Stars,2024-03-15 00:00:00,['NHL CENTER ICE']
nj,"Thu, Mar 7",St Louis Blues,2024-03-08 00:00:00,['ESPN']
nj,"Sun, Mar 17",Vegas Golden Knights,2024-03-17 19:30:00,['TNT']
nj,"Mon, Mar 11",New York Rangers,2024-03-11 23:00:00,['NHL CENTER ICE']
nj,"Thu, Mar 21",Winnipeg Jets,2024-03-21 23:00:00,['NHL CENTER ICE']
nj,"Sat, Mar 16",Arizona Coyotes,2024-03-16 21:00:00,['NHL CENTER ICE']
nj,"Sun, Mar 24",New York Islanders,2024-03-24 21:00:00,['NHL CENTER ICE']
