team,date,opponent,time,channel
nsh,"Tue, Oct 10",Tampa Bay Lightning,invalid time,['NHL CENTER ICE']
nsh,"Thu, Oct 12",Seattle Kraken,invalid time,['NHL CENTER ICE']
nsh,"Sat, Oct 14",Boston Bruins,invalid time,['NHL CENTER ICE']
nsh,"Tue, Oct 17",Edmonton Oilers,invalid time,['NHL CENTER ICE']
nsh,"Thu, Oct 19",New York Rangers,invalid time,['NHL CENTER ICE']
nsh,"Sat, Oct 28",Toronto Maple Leafs,2023-10-28 23:00:00,['NHL NET']
nsh,DATE,Vancouver Canucks,invalid time,['NHL CENTER ICE']
nsh,"Thu, Nov 2",Seattle Kraken,2023-11-03 02:00:00,['NHLPP|ESPN+']
nsh,"Tue, Oct 24",Vancouver Canucks,2023-10-25 01:15:00,['NHLPP|ESPN+']
nsh,"Tue, Nov 7",Calgary Flames,2023-11-08 02:00:00,['NHL CENTER ICE']
nsh,"Tue, Oct 31",Vancouver Canucks,2023-11-01 02:00:00,['NHLPP|ESPN+']
nsh,"Sat, Nov 11",Arizona Coyotes,2023-11-12 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Nov 4",Edmonton Oilers,2023-11-04 19:00:00,['NHL NET']
nsh,"Sat, Nov 18",Chicago Blackhawks,2023-11-19 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Nov 9",Winnipeg Jets,2023-11-10 01:00:00,['NHL CENTER ICE']
nsh,"Wed, Nov 22",Calgary Flames,2023-11-23 02:00:00,['NHL CENTER ICE']
nsh,"Tue, Nov 14",Anaheim Ducks,2023-11-15 01:00:00,"['ESPN+', 'HULU']"
nsh,"Sun, Nov 26",Winnipeg Jets,2023-11-27 01:00:00,['NHL CENTER ICE']
nsh,"Mon, Nov 20",Colorado Avalanche,2023-11-21 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Nov 30",Minnesota Wild,2023-12-01 01:00:00,['NHL CENTER ICE']
nsh,"Fri, Nov 24",St Louis Blues,2023-11-24 20:00:00,['NHL CENTER ICE']
nsh,"Sun, Dec 3",Buffalo Sabres,2023-12-04 00:00:00,['NHL CENTER ICE']
nsh,"Tue, Nov 28",Pittsburgh Penguins,2023-11-29 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Dec 7",Tampa Bay Lightning,2023-12-08 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Dec 2",New York Rangers,2023-12-02 21:00:00,['NHL CENTER ICE']
nsh,"Sun, Dec 10",Montreal Canadiens,2023-12-11 00:00:00,['NHL CENTER ICE']
nsh,"Tue, Dec 5",Chicago Blackhawks,2023-12-06 01:30:00,['NHL CENTER ICE']
nsh,"Fri, Dec 15",Carolina Hurricanes,2023-12-16 00:30:00,"['ESPN+', 'HULU']"
nsh,"Sat, Dec 9",Toronto Maple Leafs,2023-12-10 00:00:00,['NHL CENTER ICE']
nsh,"Tue, Dec 19",Vancouver Canucks,2023-12-20 01:00:00,['NHL CENTER ICE']
nsh,"Tue, Dec 12",Philadelphia Flyers,2023-12-13 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Dec 23",Dallas Stars,2023-12-23 20:00:00,['NHL CENTER ICE']
nsh,"Sat, Dec 16",Washington Capitals,2023-12-17 01:00:00,['NHL CENTER ICE']
nsh,"Fri, Dec 29",Detroit Red Wings,2023-12-30 00:00:00,['NHL CENTER ICE']
nsh,"Thu, Dec 21",Philadelphia Flyers,2023-12-22 00:00:00,['NHL CENTER ICE']
nsh,"Tue, Jan 2",Chicago Blackhawks,2024-01-03 01:00:00,['NHL CENTER ICE']
nsh,"Wed, Dec 27",Carolina Hurricanes,2023-12-28 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Jan 6",Dallas Stars,2024-01-07 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Dec 30",Washington Capitals,2023-12-31 00:00:00,['NHL CENTER ICE']
nsh,"Fri, Jan 12",Dallas Stars,2024-01-13 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Jan 4",Calgary Flames,2024-01-05 01:00:00,['NHL CENTER ICE']
nsh,"Mon, Jan 15",Vegas Golden Knights,2024-01-16 03:00:00,['NHL CENTER ICE']
nsh,"Tue, Jan 9",Anaheim Ducks,2024-01-10 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Jan 20",Arizona Coyotes,2024-01-20 20:00:00,['NHL CENTER ICE']
nsh,"Sat, Jan 13",New York Islanders,2024-01-14 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Jan 25",Minnesota Wild,2024-01-26 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Jan 18",Los Angeles Kings,2024-01-19 02:30:00,['ESPN']
nsh,"Mon, Jan 29",Ottawa Senators,2024-01-30 00:00:00,['NHL CENTER ICE']
nsh,"Mon, Jan 22",Florida Panthers,2024-01-23 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Feb 10",Arizona Coyotes,2024-02-11 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Jan 27",Edmonton Oilers,2024-01-27 21:00:00,['NHL CENTER ICE']
nsh,"Thu, Feb 15",Dallas Stars,2024-02-16 02:00:00,['ESPN']
nsh,"Wed, Jan 31",Los Angeles Kings,2024-02-01 00:30:00,['TNT']
nsh,"Tue, Feb 20",Vegas Golden Knights,2024-02-21 03:00:00,['NHL CENTER ICE']
nsh,"Tue, Feb 13",New Jersey Devils,2024-02-14 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Feb 24",San Jose Sharks,2024-02-25 03:00:00,['NHL CENTER ICE']
nsh,"Sat, Feb 17",St Louis Blues,2024-02-17 22:00:00,['NHL CENTER ICE']
nsh,"Tue, Feb 27",Ottawa Senators,2024-02-28 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Feb 22",Los Angeles Kings,2024-02-23 03:30:00,"['ESPN+', 'HULU']"
nsh,"Sat, Mar 2",Colorado Avalanche,2024-03-03 01:00:00,['NHL CENTER ICE']
nsh,"Sun, Feb 25",Anaheim Ducks,2024-02-26 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Mar 7",Buffalo Sabres,2024-03-08 01:00:00,['NHL CENTER ICE']
nsh,"Thu, Feb 29",Minnesota Wild,2024-03-01 01:00:00,['NHL CENTER ICE']
nsh,"Sun, Mar 10",Minnesota Wild,2024-03-10 19:30:00,['TNT']
nsh,"Tue, Mar 5",Montreal Canadiens,2024-03-06 01:00:00,['NHL CENTER ICE']
nsh,"Sat, Mar 16",Seattle Kraken,2024-03-17 02:00:00,['NHL CENTER ICE']
nsh,"Sat, Mar 9",Columbus Blue Jackets,2024-03-09 17:30:00,['NHL CENTER ICE']
nsh,"Thu, Mar 21",Florida Panthers,2024-03-21 23:30:00,"['ESPN+', 'HULU']"
nsh,"Wed, Mar 13",Winnipeg Jets,2024-03-13 23:30:00,['NHL CENTER ICE']
nsh,"Tue, Mar 26",Vegas Golden Knights,2024-03-27 00:00:00,['NHL CENTER ICE']
nsh,"Tue, Mar 19",San Jose Sharks,2024-03-20 00:00:00,['NHL CENTER ICE']
nsh,"Sat, Mar 30",Colorado Avalanche,2024-03-30 22:00:00,['NHL CENTER ICE']
nsh,"Sat, Mar 23",Detroit Red Wings,2024-03-23 21:00:00,['NHL CENTER ICE']
nsh,"Thu, Apr 4",St Louis Blues,2024-04-05 00:00:00,"['ESPN+', 'HULU']"
nsh,"Thu, Mar 28",Arizona Coyotes,2024-03-29 02:00:00,['NHL CENTER ICE']
nsh,"Sun, Apr 7",New Jersey Devils,2024-04-07 23:00:00,['NHL CENTER ICE']
nsh,"Tue, Apr 2",Boston Bruins,2024-04-03 00:00:00,['NHL CENTER ICE']
nsh,"Fri, Apr 12",Chicago Blackhawks,2024-04-13 00:30:00,['NHL CENTER ICE']
nsh,"Tue, Apr 9",Winnipeg Jets,2024-04-10 00:00:00,['NHL CENTER ICE']
nsh,"Mon, Apr 15",Pittsburgh Penguins,2024-04-15 23:00:00,['NHL CENTER ICE']
