team,date,opponent,time,channel
nyi,"Sat, Oct 14",Buffalo Sabres,invalid time,['NHL CENTER ICE']
nyi,"Tue, Oct 17",Arizona Coyotes,invalid time,['NHL CENTER ICE']
nyi,"Fri, Oct 20",New Jersey Devils,invalid time,['NHL CENTER ICE']
nyi,"Thu, Oct 26",Ottawa Senators,2023-10-26 23:30:00,['NHLPP|ESPN+']
nyi,DATE,Colorado Avalanche,invalid time,['NHL CENTER ICE']
nyi,"Mon, Oct 30",Detroit Red Wings,2023-10-30 23:30:00,['NHLPP|ESPN+']
nyi,"Tue, Oct 24",Colorado Avalanche,2023-10-25 00:00:00,['NHLPP|ESPN+']
nyi,"Sat, Nov 4",Carolina Hurricanes,2023-11-04 23:30:00,['NHLPP|ESPN+']
nyi,"Sat, Oct 28",Columbus Blue Jackets,2023-10-28 23:00:00,['NHLPP|ESPN+']
nyi,"Thu, Nov 9",Boston Bruins,2023-11-10 00:00:00,['NHL CENTER ICE']
nyi,"Thu, Nov 2",Washington Capitals,2023-11-02 23:00:00,['NHLPP|ESPN+']
nyi,"Mon, Nov 13",Edmonton Oilers,2023-11-14 01:30:00,['NHL CENTER ICE']
nyi,"Tue, Nov 7",Minnesota Wild,2023-11-08 00:30:00,['NHL CENTER ICE']
nyi,"Thu, Nov 16",Seattle Kraken,2023-11-17 03:00:00,['NHL CENTER ICE']
nyi,"Sat, Nov 11",Washington Capitals,2023-11-12 00:30:00,['NHL CENTER ICE']
nyi,"Wed, Nov 22",Philadelphia Flyers,2023-11-23 00:30:00,['NHL CENTER ICE']
nyi,"Wed, Nov 15",Vancouver Canucks,2023-11-16 03:30:00,['TNT']
nyi,"Sat, Nov 25",Philadelphia Flyers,2023-11-26 00:30:00,['NHL CENTER ICE']
nyi,"Sat, Nov 18",Calgary Flames,2023-11-19 00:00:00,['NHL CENTER ICE']
nyi,"Thu, Nov 30",Carolina Hurricanes,2023-12-01 00:30:00,"['ESPN+', 'HULU']"
nyi,"Fri, Nov 24",Ottawa Senators,2023-11-25 00:30:00,['NHL CENTER ICE']
nyi,"Tue, Dec 5",San Jose Sharks,2023-12-06 00:30:00,['NHL CENTER ICE']
nyi,"Tue, Nov 28",New Jersey Devils,2023-11-29 00:00:00,['NHL CENTER ICE']
nyi,"Sat, Dec 9",Los Angeles Kings,2023-12-10 00:30:00,['NHL CENTER ICE']
nyi,"Sat, Dec 2",Florida Panthers,2023-12-02 23:00:00,['NHL CENTER ICE']
