team,date,opponent,time,channel
nyr,"Thu, Oct 12",Buffalo Sabres,invalid time,['NHL CENTER ICE']
nyr,"Sat, Oct 14",Columbus Blue Jackets,invalid time,['NHL CENTER ICE']
nyr,"Mon, Oct 16",Arizona Coyotes,invalid time,['NHL CENTER ICE']
nyr,"Thu, Oct 19",Nashville Predators,invalid time,['NHL CENTER ICE']
nyr,DATE,Calgary Flames,invalid time,['NHL CENTER ICE']
nyr,"Thu, Oct 26",Edmonton Oilers,2023-10-27 01:00:00,['NHLPP|ESPN+']
nyr,"Tue, Oct 24",Calgary Flames,2023-10-25 01:45:00,['NHLPP|ESPN+']
nyr,"Mon, Oct 30",Winnipeg Jets,2023-10-30 23:30:00,['NHLPP|ESPN+']
nyr,"Sat, Oct 28",Vancouver Canucks,2023-10-29 02:00:00,['NHLPP|ESPN+']
nyr,"Sat, Nov 4",Minnesota Wild,2023-11-05 00:00:00,['NHLPP|ESPN+']
nyr,"Thu, Nov 2",Carolina Hurricanes,2023-11-02 23:00:00,['NHLPP|ESPN+']
nyr,"Thu, Nov 9",Minnesota Wild,2023-11-10 00:00:00,['NHL CENTER ICE']
nyr,"Tue, Nov 7",Detroit Red Wings,2023-11-08 00:30:00,['TNT']
nyr,"Sat, Nov 18",New Jersey Devils,2023-11-19 00:00:00,['NHL CENTER ICE']
nyr,"Sun, Nov 12",Columbus Blue Jackets,2023-11-13 00:00:00,['NHL CENTER ICE']
nyr,"Wed, Nov 22",Pittsburgh Penguins,2023-11-23 00:00:00,['NHL CENTER ICE']
nyr,"Mon, Nov 20",Dallas Stars,2023-11-21 01:00:00,['NHL CENTER ICE']
nyr,"Sat, Nov 25",Boston Bruins,2023-11-25 18:00:00,['NHL CENTER ICE']
nyr,"Fri, Nov 24",Philadelphia Flyers,2023-11-24 18:00:00,['NHL CENTER ICE']
nyr,"Wed, Nov 29",Detroit Red Wings,2023-11-30 00:30:00,['TNT']
nyr,"Mon, Nov 27",Buffalo Sabres,2023-11-28 00:00:00,['NHL CENTER ICE']
nyr,"Sun, Dec 3",San Jose Sharks,2023-12-03 23:00:00,['NHL CENTER ICE']
nyr,"Sat, Dec 2",Nashville Predators,2023-12-02 21:00:00,['NHL CENTER ICE']
nyr,"Sat, Dec 9",Washington Capitals,2023-12-10 00:00:00,['NHL CENTER ICE']
nyr,"Tue, Dec 5",Ottawa Senators,2023-12-06 00:00:00,['NHL CENTER ICE']
nyr,"Tue, Dec 12",Toronto Maple Leafs,2023-12-13 00:00:00,['NHL CENTER ICE']
nyr,"Sun, Dec 10",Los Angeles Kings,2023-12-11 00:00:00,['NHL CENTER ICE']
nyr,"Sat, Dec 16",Boston Bruins,2023-12-17 00:00:00,['NHL CENTER ICE']
nyr,"Fri, Dec 15",Anaheim Ducks,2023-12-16 00:00:00,['NHL CENTER ICE']
nyr,"Fri, Dec 22",Edmonton Oilers,2023-12-23 00:30:00,"['ESPN+', 'HULU']"
nyr,"Tue, Dec 19",Toronto Maple Leafs,2023-12-20 00:00:00,['NHL CENTER ICE']
nyr,"Wed, Dec 27",Washington Capitals,2023-12-28 00:00:00,['NHL CENTER ICE']
nyr,"Sat, Dec 23",Buffalo Sabres,2023-12-24 00:30:00,['NHL CENTER ICE']
nyr,"Sat, Dec 30",Tampa Bay Lightning,2023-12-31 00:00:00,['NHL CENTER ICE']
nyr,"Fri, Dec 29",Florida Panthers,2023-12-30 00:00:00,['NHL CENTER ICE']
nyr,"Thu, Jan 4",Chicago Blackhawks,2024-01-05 00:00:00,['NHL CENTER ICE']
nyr,"Tue, Jan 2",Carolina Hurricanes,2024-01-03 00:00:00,['NHL CENTER ICE']
nyr,"Mon, Jan 8",Vancouver Canucks,2024-01-09 00:00:00,['NHL CENTER ICE']
nyr,"Sat, Jan 6",Montreal Canadiens,2024-01-07 00:00:00,['NHL CENTER ICE']
nyr,"Sat, Jan 13",Washington Capitals,2024-01-13 18:00:00,"['ABC', 'ESPN+']"
nyr,"Thu, Jan 11",St Louis Blues,2024-01-12 01:00:00,['NHL CENTER ICE']
nyr,"Tue, Jan 16",Seattle Kraken,2024-01-17 00:00:00,['NHL CENTER ICE']
nyr,"Sun, Jan 14",Washington Capitals,2024-01-14 18:00:00,['NHL CENTER ICE']
nyr,"Sat, Jan 20",Los Angeles Kings,2024-01-21 03:30:00,['NHL CENTER ICE']
nyr,"Thu, Jan 18",Vegas Golden Knights,2024-01-19 03:00:00,['NHL CENTER ICE']
nyr,"Tue, Jan 23",San Jose Sharks,2024-01-24 03:30:00,['NHL CENTER ICE']
nyr,"Sun, Jan 21",Anaheim Ducks,2024-01-22 01:30:00,['NHL CENTER ICE']
nyr,"Sat, Jan 27",Ottawa Senators,2024-01-28 00:00:00,['NHL CENTER ICE']
nyr,"Fri, Jan 26",Vegas Golden Knights,2024-01-27 00:00:00,['ESPN']
nyr,"Wed, Feb 7",Tampa Bay Lightning,2024-02-08 00:00:00,['TNT']
nyr,"Mon, Feb 5",Colorado Avalanche,2024-02-06 00:00:00,['NHL CENTER ICE']
nyr,"Mon, Feb 12",Calgary Flames,2024-02-13 00:00:00,['NHL CENTER ICE']
nyr,"Fri, Feb 9",Chicago Blackhawks,2024-02-10 01:30:00,['NHL CENTER ICE']
nyr,"Sun, Feb 18",New York Islanders,2024-02-18 20:00:00,"['ABC', 'ESPN+']"
nyr,"Thu, Feb 15",Montreal Canadiens,2024-02-16 00:00:00,['NHL CENTER ICE']
nyr,"Thu, Feb 22",New Jersey Devils,2024-02-23 00:00:00,['NHL CENTER ICE']
nyr,"Tue, Feb 20",Dallas Stars,2024-02-21 00:00:00,['NHL CENTER ICE']
nyr,"Sun, Feb 25",Columbus Blue Jackets,2024-02-25 23:00:00,['NHL CENTER ICE']
nyr,"Sat, Feb 24",Philadelphia Flyers,2024-02-24 20:00:00,"['ESPN+', 'HULU']"
nyr,"Sat, Mar 2",Toronto Maple Leafs,2024-03-03 00:00:00,['NHL CENTER ICE']
nyr,"Wed, Feb 28",Columbus Blue Jackets,2024-02-29 00:00:00,['NHL CENTER ICE']
nyr,"Sat, Mar 9",St Louis Blues,2024-03-10 00:30:00,['NHL CENTER ICE']
nyr,"Mon, Mar 4",Florida Panthers,2024-03-05 00:00:00,['NHL CENTER ICE']
nyr,"Tue, Mar 12",Carolina Hurricanes,2024-03-12 23:00:00,['NHL CENTER ICE']
nyr,"Mon, Mar 11",New Jersey Devils,2024-03-11 23:00:00,['NHL CENTER ICE']
nyr,"Sat, Mar 16",Pittsburgh Penguins,2024-03-16 19:00:00,"['ABC', 'ESPN+']"
nyr,"Thu, Mar 14",Tampa Bay Lightning,2024-03-14 23:00:00,['NHL CENTER ICE']
nyr,"Tue, Mar 19",Winnipeg Jets,2024-03-19 23:00:00,['NHL CENTER ICE']
nyr,"Sun, Mar 17",New York Islanders,2024-03-17 17:00:00,['TNT']
nyr,"Sat, Mar 23",Florida Panthers,2024-03-24 00:00:00,"['ABC', 'ESPN+']"
nyr,"Thu, Mar 21",Boston Bruins,2024-03-21 23:00:00,['NHL CENTER ICE']
nyr,"Thu, Mar 28",Colorado Avalanche,2024-03-29 01:00:00,['NHL CENTER ICE']
nyr,"Tue, Mar 26",Philadelphia Flyers,2024-03-26 23:00:00,['NHL CENTER ICE']
nyr,"Mon, Apr 1",Pittsburgh Penguins,2024-04-01 23:00:00,['NHL CENTER ICE']
nyr,"Sat, Mar 30",Arizona Coyotes,2024-03-30 22:00:00,['NHL CENTER ICE']
nyr,"Fri, Apr 5",Detroit Red Wings,2024-04-05 23:00:00,['NHL CENTER ICE']
nyr,"Wed, Apr 3",New Jersey Devils,2024-04-03 23:00:00,['TNT']
nyr,"Tue, Apr 9",New York Islanders,2024-04-09 23:00:00,['NHL CENTER ICE']
nyr,"Sun, Apr 7",Montreal Canadiens,2024-04-07 23:00:00,['NHL CENTER ICE']
nyr,"Sat, Apr 13",New York Islanders,2024-04-13 16:30:00,"['ABC', 'ESPN+']"
nyr,"Thu, Apr 11",Philadelphia Flyers,2024-04-11 23:00:00,['NHL CENTER ICE']
nyr,"Mon, Apr 15",Ottawa Senators,2024-04-15 23:30:00,['NHL CENTER ICE']
