team,date,opponent,time,channel
ott,"Wed, Oct 11",Carolina Hurricanes,invalid time,['NHL CENTER ICE']
ott,"Sat, Oct 14",Philadelphia Flyers,invalid time,['NHL CENTER ICE']
ott,"Sun, Oct 15",Tampa Bay Lightning,invalid time,['NHL CENTER ICE']
ott,"Wed, Oct 18",Washington Capitals,invalid time,['NHL CENTER ICE']
ott,DATE,Buffalo Sabres,invalid time,['NHL CENTER ICE']
ott,"Thu, Oct 26",New York Islanders,2023-10-26 23:30:00,['NHLPP|ESPN+']
ott,"Tue, Oct 24",Buffalo Sabres,2023-10-24 22:45:00,['NHLPP|ESPN+']
ott,"Thu, Nov 2",Los Angeles Kings,2023-11-02 23:00:00,['NHLPP|ESPN+']
ott,"Sat, Oct 28",Pittsburgh Penguins,2023-10-28 23:00:00,['NHLPP|ESPN+']
ott,"Wed, Nov 8",Toronto Maple Leafs,2023-11-09 00:00:00,['NHL CENTER ICE']
ott,"Sat, Nov 4",Tampa Bay Lightning,2023-11-04 23:00:00,['NHLPP|ESPN+']
ott,"Sat, Nov 11",Calgary Flames,2023-11-12 00:00:00,['NHL CENTER ICE']
ott,"Thu, Nov 9",Vancouver Canucks,2023-11-10 00:00:00,['NHL CENTER ICE']
ott,"Sat, Nov 18",Minnesota Wild,2023-11-18 15:00:00,['NHL CENTER ICE']
ott,"Thu, Nov 16",Detroit Red Wings,2023-11-16 18:00:00,['NHL CENTER ICE']
ott,"Mon, Nov 27",Florida Panthers,2023-11-28 00:00:00,['NHL CENTER ICE']
ott,"Fri, Nov 24",New York Islanders,2023-11-25 00:30:00,['NHL CENTER ICE']
ott,"Sat, Dec 2",Seattle Kraken,2023-12-03 00:00:00,['NHL CENTER ICE']
ott,"Fri, Dec 1",Columbus Blue Jackets,2023-12-02 00:00:00,['NHL CENTER ICE']
ott,"Thu, Dec 7",Toronto Maple Leafs,2023-12-08 00:00:00,['NHL CENTER ICE']
ott,"Tue, Dec 5",New York Rangers,2023-12-06 00:00:00,['NHL CENTER ICE']
ott,"Tue, Dec 12",Carolina Hurricanes,2023-12-13 00:00:00,['NHL CENTER ICE']
ott,"Sat, Dec 9",Detroit Red Wings,2023-12-10 00:00:00,['NHL CENTER ICE']
ott,"Fri, Dec 15",Dallas Stars,2023-12-16 01:00:00,['NHL CENTER ICE']
ott,"Thu, Dec 14",St Louis Blues,2023-12-15 01:00:00,['NHL CENTER ICE']
ott,"Tue, Dec 19",Arizona Coyotes,2023-12-20 02:00:00,['NHL CENTER ICE']
ott,"Sun, Dec 17",Vegas Golden Knights,2023-12-18 01:00:00,['NHL CENTER ICE']
ott,"Sat, Dec 23",Pittsburgh Penguins,2023-12-24 00:00:00,['NHL CENTER ICE']
ott,"Thu, Dec 21",Colorado Avalanche,2023-12-22 02:00:00,['NHL CENTER ICE']
ott,"Fri, Dec 29",New Jersey Devils,2023-12-30 00:00:00,['NHL CENTER ICE']
ott,"Wed, Dec 27",Toronto Maple Leafs,2023-12-28 00:00:00,['NHL CENTER ICE']
ott,"Tue, Jan 2",Vancouver Canucks,2024-01-03 03:00:00,['NHL CENTER ICE']
ott,"Sun, Dec 31",Buffalo Sabres,2023-12-31 23:00:00,['NHL CENTER ICE']
ott,"Sat, Jan 6",Edmonton Oilers,2024-01-07 03:00:00,['NHL CENTER ICE']
ott,"Thu, Jan 4",Seattle Kraken,2024-01-05 03:00:00,['NHL CENTER ICE']
ott,"Thu, Jan 11",Buffalo Sabres,2024-01-12 00:00:00,['NHL CENTER ICE']
ott,"Tue, Jan 9",Calgary Flames,2024-01-10 02:00:00,['NHL CENTER ICE']
ott,"Tue, Jan 16",Colorado Avalanche,2024-01-17 00:00:00,['NHL CENTER ICE']
ott,"Sat, Jan 13",San Jose Sharks,2024-01-13 21:00:00,['NHL CENTER ICE']
ott,"Sat, Jan 20",Winnipeg Jets,2024-01-20 20:00:00,['NHL CENTER ICE']
ott,"Thu, Jan 18",Montreal Canadiens,2024-01-19 00:00:00,['NHL CENTER ICE']
ott,"Tue, Jan 23",Montreal Canadiens,2024-01-24 00:00:00,['NHL CENTER ICE']
ott,"Sun, Jan 21",Philadelphia Flyers,2024-01-21 18:00:00,['NHL CENTER ICE']
ott,"Sat, Jan 27",New York Rangers,2024-01-28 00:00:00,['NHL CENTER ICE']
ott,"Thu, Jan 25",Boston Bruins,2024-01-26 00:00:00,['NHL CENTER ICE']
ott,"Wed, Jan 31",Detroit Red Wings,2024-02-01 00:00:00,['NHL CENTER ICE']
ott,"Mon, Jan 29",Nashville Predators,2024-01-30 00:00:00,['NHL CENTER ICE']
ott,"Tue, Feb 13",Columbus Blue Jackets,2024-02-14 00:00:00,['NHL CENTER ICE']
ott,"Sat, Feb 10",Toronto Maple Leafs,2024-02-11 00:00:00,['NHL CENTER ICE']
ott,"Sat, Feb 17",Chicago Blackhawks,2024-02-17 20:00:00,['NHL CENTER ICE']
