team,date,opponent,time,channel
phi,"Thu, Oct 12",Columbus Blue Jackets,invalid time,['NHL CENTER ICE']
phi,"Sat, Oct 14",Ottawa Senators,invalid time,['NHL CENTER ICE']
phi,"Tue, Oct 17",Vancouver Canucks,invalid time,['NHL CENTER ICE']
phi,"Thu, Oct 19",Edmonton Oilers,invalid time,['NHL CENTER ICE']
phi,DATE,Vegas Golden Knights,invalid time,['NHL CENTER ICE']
phi,"Thu, Oct 26",Minnesota Wild,2023-10-26 23:30:00,"['ESPN+', 'HULU']"
phi,"Tue, Oct 24",Vegas Golden Knights,2023-10-25 03:00:00,"['ESPN', 'ESPN+']"
phi,"Mon, Oct 30",Carolina Hurricanes,2023-10-30 23:00:00,['NHLPP|ESPN+']
phi,"Sat, Oct 28",Anaheim Ducks,2023-10-28 17:00:00,['NHLPP|ESPN+']
phi,"Fri, Nov 3",Buffalo Sabres,2023-11-03 23:00:00,['NHL NET']
phi,"Wed, Nov 1",Buffalo Sabres,2023-11-01 23:00:00,['TNT']
phi,"Tue, Nov 7",San Jose Sharks,2023-11-08 03:30:00,['NHL CENTER ICE']
phi,"Sat, Nov 4",Los Angeles Kings,2023-11-04 23:30:00,['NHLPP|ESPN+']
phi,"Sat, Nov 11",Los Angeles Kings,2023-11-12 03:30:00,['NHL CENTER ICE']
phi,"Fri, Nov 10",Anaheim Ducks,2023-11-11 03:00:00,['NHL CENTER ICE']
phi,"Sat, Nov 18",Vegas Golden Knights,2023-11-18 18:00:00,['NHL CENTER ICE']
phi,"Wed, Nov 15",Carolina Hurricanes,2023-11-16 00:30:00,['TNT']
phi,"Wed, Nov 22",New York Islanders,2023-11-23 00:30:00,['NHL CENTER ICE']
phi,"Sun, Nov 19",Columbus Blue Jackets,2023-11-19 22:30:00,['NHL CENTER ICE']
phi,"Sat, Nov 25",New York Islanders,2023-11-26 00:30:00,['NHL CENTER ICE']
phi,"Fri, Nov 24",New York Rangers,2023-11-24 18:00:00,['NHL CENTER ICE']
phi,"Thu, Nov 30",New Jersey Devils,2023-12-01 00:00:00,['NHL CENTER ICE']
phi,"Tue, Nov 28",Carolina Hurricanes,2023-11-29 00:30:00,"['ESPN+', 'HULU']"
phi,"Mon, Dec 4",Pittsburgh Penguins,2023-12-05 00:00:00,['NHL CENTER ICE']
phi,"Sat, Dec 2",Pittsburgh Penguins,2023-12-03 00:00:00,['NHL CENTER ICE']
phi,"Sat, Dec 9",Colorado Avalanche,2023-12-10 02:00:00,['NHL CENTER ICE']
phi,"Thu, Dec 7",Arizona Coyotes,2023-12-08 02:00:00,['NHL CENTER ICE']
phi,"Thu, Dec 14",Washington Capitals,2023-12-15 00:00:00,['NHL CENTER ICE']
phi,"Tue, Dec 12",Nashville Predators,2023-12-13 01:00:00,['NHL CENTER ICE']
phi,"Tue, Dec 19",New Jersey Devils,2023-12-20 00:00:00,['NHL CENTER ICE']
phi,"Sat, Dec 16",Detroit Red Wings,2023-12-17 00:00:00,['NHL CENTER ICE']
phi,"Fri, Dec 22",Detroit Red Wings,2023-12-23 00:00:00,['NHL CENTER ICE']
phi,"Thu, Dec 21",Nashville Predators,2023-12-22 00:00:00,['NHL CENTER ICE']
