team,date,opponent,time,channel
pit,"Tue, Oct 10",Chicago Blackhawks,invalid time,['NHL CENTER ICE']
pit,"Fri, Oct 13",Washington Capitals,invalid time,['NHL CENTER ICE']
pit,"Sat, Oct 14",Calgary Flames,invalid time,['NHL CENTER ICE']
pit,"Wed, Oct 18",Detroit Red Wings,invalid time,['NHL CENTER ICE']
pit,DATE,Dallas Stars,invalid time,['NHL CENTER ICE']
pit,"Thu, Oct 26",Colorado Avalanche,2023-10-26 23:00:00,['NHLPP|ESPN+']
pit,"Tue, Oct 24",Dallas Stars,2023-10-24 23:30:00,['NHLPP|ESPN+']
pit,"Mon, Oct 30",Anaheim Ducks,2023-10-30 23:00:00,['NHLPP|ESPN+']
pit,"Sat, Oct 28",Ottawa Senators,2023-10-28 23:00:00,['NHLPP|ESPN+']
pit,"Tue, Nov 7",Anaheim Ducks,2023-11-08 03:00:00,['NHL CENTER ICE']
pit,"Sat, Nov 4",San Jose Sharks,2023-11-05 02:00:00,['NHLPP|ESPN+']
pit,"Sat, Nov 11",Buffalo Sabres,2023-11-12 00:00:00,['NHL CENTER ICE']
pit,"Thu, Nov 9",Los Angeles Kings,2023-11-10 03:30:00,['NHL CENTER ICE']
pit,"Thu, Nov 16",New Jersey Devils,2023-11-17 00:00:00,['NHL CENTER ICE']
pit,"Tue, Nov 14",Columbus Blue Jackets,2023-11-15 00:00:00,['NHL CENTER ICE']
pit,"Sun, Nov 19",Vegas Golden Knights,2023-11-19 23:00:00,['NHL CENTER ICE']
pit,"Sat, Nov 18",Carolina Hurricanes,2023-11-19 00:00:00,['NHL CENTER ICE']
pit,"Fri, Nov 24",Buffalo Sabres,2023-11-24 23:00:00,['TNT']
pit,"Wed, Nov 22",New York Rangers,2023-11-23 00:00:00,['NHL CENTER ICE']
pit,"Tue, Nov 28",Nashville Predators,2023-11-29 01:00:00,['NHL CENTER ICE']
pit,"Sat, Nov 25",Toronto Maple Leafs,2023-11-26 00:00:00,['NHL CENTER ICE']
pit,"Sat, Dec 2",Philadelphia Flyers,2023-12-03 00:00:00,['NHL CENTER ICE']
pit,"Thu, Nov 30",Tampa Bay Lightning,2023-12-01 00:00:00,['NHL CENTER ICE']
pit,"Wed, Dec 6",Tampa Bay Lightning,2023-12-07 00:00:00,['NHL CENTER ICE']
pit,"Mon, Dec 4",Philadelphia Flyers,2023-12-05 00:00:00,['NHL CENTER ICE']
pit,"Tue, Dec 12",Arizona Coyotes,2023-12-13 00:00:00,['NHL CENTER ICE']
pit,"Fri, Dec 8",Florida Panthers,2023-12-09 00:00:00,['NHL CENTER ICE']
pit,"Sat, Dec 16",Toronto Maple Leafs,2023-12-17 00:00:00,['NHL CENTER ICE']
pit,"Wed, Dec 13",Montreal Canadiens,2023-12-14 00:00:00,['NHL CENTER ICE']
pit,"Thu, Dec 21",Carolina Hurricanes,2023-12-22 00:00:00,['NHL CENTER ICE']
pit,"Mon, Dec 18",Minnesota Wild,2023-12-19 00:00:00,['NHL CENTER ICE']
pit,"Wed, Dec 27",New York Islanders,2023-12-28 00:30:00,['NHL CENTER ICE']
pit,"Sat, Dec 23",Ottawa Senators,2023-12-24 00:00:00,['NHL CENTER ICE']
pit,"Sun, Dec 31",New York Islanders,2023-12-31 23:00:00,['NHL CENTER ICE']
pit,"Sat, Dec 30",St Louis Blues,2023-12-31 00:00:00,['NHL CENTER ICE']
pit,"Thu, Jan 4",Boston Bruins,2024-01-05 00:00:00,['ESPN']
pit,"Tue, Jan 2",Washington Capitals,2024-01-03 00:30:00,"['ESPN+', 'HULU']"
pit,"Mon, Jan 8",Philadelphia Flyers,2024-01-09 00:00:00,['NHL CENTER ICE']
pit,"Sat, Jan 6",Buffalo Sabres,2024-01-07 00:00:00,['NHL CENTER ICE']
pit,"Sat, Jan 13",Carolina Hurricanes,2024-01-14 00:00:00,['NHL CENTER ICE']
pit,"Thu, Jan 11",Vancouver Canucks,2024-01-12 00:00:00,['NHL CENTER ICE']
pit,"Sat, Jan 20",Vegas Golden Knights,2024-01-21 03:00:00,['NHL CENTER ICE']
pit,"Mon, Jan 15",Seattle Kraken,2024-01-15 23:00:00,['NHL CENTER ICE']
pit,"Fri, Jan 26",Florida Panthers,2024-01-27 00:00:00,['NHL CENTER ICE']
pit,"Mon, Jan 22",Arizona Coyotes,2024-01-23 02:00:00,['NHL CENTER ICE']
pit,"Tue, Feb 6",Winnipeg Jets,2024-02-07 00:00:00,['NHL CENTER ICE']
pit,"Sat, Jan 27",Montreal Canadiens,2024-01-28 00:00:00,['NHL CENTER ICE']
pit,"Sat, Feb 10",Winnipeg Jets,2024-02-11 00:00:00,['NHL CENTER ICE']
pit,"Fri, Feb 9",Minnesota Wild,2024-02-10 01:00:00,['NHL CENTER ICE']
pit,"Thu, Feb 15",Chicago Blackhawks,2024-02-16 01:30:00,['NHL CENTER ICE']
pit,"Wed, Feb 14",Florida Panthers,2024-02-15 00:30:00,['TNT']
pit,"Tue, Feb 20",New York Islanders,2024-02-21 00:00:00,['NHL CENTER ICE']
pit,"Sun, Feb 18",Los Angeles Kings,2024-02-18 23:00:00,['NHL CENTER ICE']
pit,"Sun, Feb 25",Philadelphia Flyers,2024-02-25 20:30:00,['TNT']
pit,"Thu, Feb 22",Montreal Canadiens,2024-02-23 00:00:00,['NHL CENTER ICE']
pit,"Thu, Feb 29",Seattle Kraken,2024-03-01 03:00:00,['NHL CENTER ICE']
pit,"Tue, Feb 27",Vancouver Canucks,2024-02-28 03:00:00,['NHL CENTER ICE']
pit,"Sun, Mar 3",Edmonton Oilers,2024-03-04 02:00:00,['NHL CENTER ICE']
pit,"Sat, Mar 2",Calgary Flames,2024-03-03 03:00:00,['NHL CENTER ICE']
pit,"Thu, Mar 7",Washington Capitals,2024-03-08 00:00:00,['NHL CENTER ICE']
pit,"Tue, Mar 5",Columbus Blue Jackets,2024-03-06 00:00:00,['NHL CENTER ICE']
pit,"Sun, Mar 10",Edmonton Oilers,2024-03-10 17:00:00,['TNT']
pit,"Sat, Mar 9",Boston Bruins,2024-03-09 20:00:00,"['ABC', 'ESPN+']"
pit,"Thu, Mar 14",San Jose Sharks,2024-03-14 23:00:00,['NHL CENTER ICE']
pit,"Tue, Mar 12",Ottawa Senators,2024-03-12 23:00:00,['NHL CENTER ICE']
pit,"Sun, Mar 17",Detroit Red Wings,2024-03-17 22:00:00,['NHL CENTER ICE']
pit,"Sat, Mar 16",New York Rangers,2024-03-16 19:00:00,"['ABC', 'ESPN+']"
pit,"Fri, Mar 22",Dallas Stars,2024-03-23 00:00:00,['NHL CENTER ICE']
pit,"Tue, Mar 19",New Jersey Devils,2024-03-19 23:00:00,['NHL CENTER ICE']
