team,date,opponent,time,channel
sea,"Tue, Oct 10",Vegas Golden Knights,invalid time,['NHL CENTER ICE']
sea,"Thu, Oct 12",Nashville Predators,invalid time,['NHL CENTER ICE']
sea,"Sat, Oct 14",St Louis Blues,invalid time,['NHL CENTER ICE']
sea,"Tue, Oct 17",Colorado Avalanche,invalid time,['NHL CENTER ICE']
sea,"Thu, Oct 19",Carolina Hurricanes,invalid time,['NHL CENTER ICE']
sea,"Thu, Oct 26",Carolina Hurricanes,2023-10-26 23:00:00,['NHLPP|ESPN+']
sea,DATE,Detroit Red Wings,invalid time,['NHL CENTER ICE']
sea,"Mon, Oct 30",Tampa Bay Lightning,2023-10-30 23:00:00,['NHLPP|ESPN+']
sea,"Tue, Oct 24",Detroit Red Wings,2023-10-25 00:15:00,['NHLPP|ESPN+']
sea,"Sat, Nov 4",Calgary Flames,2023-11-05 02:00:00,['NHLPP|ESPN+']
sea,"Sat, Oct 28",Florida Panthers,2023-10-28 22:00:00,['NHLPP|ESPN+']
sea,"Thu, Nov 9",Colorado Avalanche,2023-11-10 02:00:00,['NHL CENTER ICE']
sea,"Thu, Nov 2",Nashville Predators,2023-11-03 02:00:00,['NHLPP|ESPN+']
sea,"Mon, Nov 13",Colorado Avalanche,2023-11-14 03:00:00,['NHL CENTER ICE']
sea,"Tue, Nov 7",Arizona Coyotes,2023-11-08 02:00:00,['NHL CENTER ICE']
sea,"Thu, Nov 16",New York Islanders,2023-11-17 03:00:00,['NHL CENTER ICE']
sea,"Sat, Nov 11",Edmonton Oilers,2023-11-12 03:00:00,['NHL CENTER ICE']
sea,"Mon, Nov 20",Calgary Flames,2023-11-21 03:00:00,['NHL CENTER ICE']
sea,"Wed, Nov 15",Edmonton Oilers,2023-11-16 01:30:00,['NHL CENTER ICE']
sea,"Fri, Nov 24",Vancouver Canucks,2023-11-25 03:00:00,['NHL CENTER ICE']
sea,"Sat, Nov 18",Vancouver Canucks,2023-11-19 03:00:00,['NHL CENTER ICE']
sea,"Thu, Nov 30",Toronto Maple Leafs,2023-12-01 00:00:00,['NHL CENTER ICE']
sea,"Wed, Nov 22",San Jose Sharks,2023-11-23 03:00:00,['NHL CENTER ICE']
sea,"Mon, Dec 4",Montreal Canadiens,2023-12-05 00:00:00,['NHL CENTER ICE']
sea,"Tue, Nov 28",Chicago Blackhawks,2023-11-29 01:30:00,['NHL CENTER ICE']
sea,"Sat, Dec 9",Tampa Bay Lightning,2023-12-10 03:00:00,['NHL CENTER ICE']
sea,"Sat, Dec 2",Ottawa Senators,2023-12-03 00:00:00,['NHL CENTER ICE']
sea,"Tue, Dec 12",Florida Panthers,2023-12-13 03:00:00,['NHL CENTER ICE']
sea,"Thu, Dec 7",New Jersey Devils,2023-12-08 03:30:00,['ESPN']
sea,"Sat, Dec 16",Los Angeles Kings,2023-12-17 03:00:00,['NHL CENTER ICE']
sea,"Sun, Dec 10",Minnesota Wild,2023-12-11 02:00:00,['NHL CENTER ICE']
sea,"Wed, Dec 20",Los Angeles Kings,2023-12-21 03:00:00,['TNT']
sea,"Thu, Dec 14",Chicago Blackhawks,2023-12-15 03:00:00,['NHL CENTER ICE']
sea,"Wed, Dec 27",Calgary Flames,2023-12-28 02:30:00,['NHL CENTER ICE']
sea,"Mon, Dec 18",Dallas Stars,2023-12-19 01:00:00,['NHL CENTER ICE']
sea,"Mon, Jan 1",Vegas Golden Knights,2024-01-01 20:00:00,['TNT']
sea,"Sat, Dec 23",Anaheim Ducks,2023-12-24 01:00:00,['NHL CENTER ICE']
sea,"Tue, Jan 9",Buffalo Sabres,2024-01-10 00:00:00,['NHL CENTER ICE']
sea,"Fri, Dec 29",Philadelphia Flyers,2023-12-30 03:00:00,['NHL CENTER ICE']
sea,"Sat, Jan 13",Columbus Blue Jackets,2024-01-14 00:00:00,['NHL CENTER ICE']
sea,"Thu, Jan 4",Ottawa Senators,2024-01-05 03:00:00,['NHL CENTER ICE']
sea,"Tue, Jan 16",New York Rangers,2024-01-17 00:00:00,['NHL CENTER ICE']
sea,"Thu, Jan 11",Washington Capitals,2024-01-12 00:00:00,['NHL CENTER ICE']
sea,"Sun, Jan 21",Toronto Maple Leafs,2024-01-22 02:00:00,['NHL CENTER ICE']
sea,"Mon, Jan 15",Pittsburgh Penguins,2024-01-15 23:00:00,['NHL CENTER ICE']
sea,"Fri, Jan 26",St Louis Blues,2024-01-27 03:00:00,['NHL CENTER ICE']
sea,"Thu, Jan 18",Edmonton Oilers,2024-01-19 02:00:00,['NHL CENTER ICE']
sea,"Tue, Jan 30",San Jose Sharks,2024-01-31 03:30:00,['NHL CENTER ICE']
sea,"Wed, Jan 24",Chicago Blackhawks,2024-01-25 03:00:00,['TNT']
sea,"Mon, Feb 12",New Jersey Devils,2024-02-13 00:00:00,['NHL CENTER ICE']
sea,"Sun, Jan 28",Columbus Blue Jackets,2024-01-29 02:00:00,['NHL CENTER ICE']
sea,"Thu, Feb 15",Boston Bruins,2024-02-16 00:00:00,['NHL CENTER ICE']
sea,"Sat, Feb 10",Philadelphia Flyers,2024-02-11 00:00:00,"['ESPN+', 'HULU']"
sea,"Thu, Feb 22",Vancouver Canucks,2024-02-23 03:00:00,['NHL CENTER ICE']
sea,"Tue, Feb 13",New York Islanders,2024-02-14 00:30:00,['NHL CENTER ICE']
sea,"Mon, Feb 26",Boston Bruins,2024-02-27 03:00:00,['NHL CENTER ICE']
sea,"Mon, Feb 19",Detroit Red Wings,2024-02-19 20:30:00,['ESPN']
sea,"Sat, Mar 2",Edmonton Oilers,2024-03-02 21:00:00,['NHL CENTER ICE']
sea,"Sat, Feb 24",Minnesota Wild,2024-02-25 03:00:00,['NHL CENTER ICE']
sea,"Tue, Mar 5",Winnipeg Jets,2024-03-06 01:00:00,['NHL CENTER ICE']
sea,"Thu, Feb 29",Pittsburgh Penguins,2024-03-01 03:00:00,['NHL CENTER ICE']
sea,"Tue, Mar 12",Vegas Golden Knights,2024-03-13 02:00:00,['NHL CENTER ICE']
sea,"Mon, Mar 4",Calgary Flames,2024-03-05 02:30:00,['NHL CENTER ICE']
sea,"Sat, Mar 16",Nashville Predators,2024-03-17 02:00:00,['NHL CENTER ICE']
sea,"Fri, Mar 8",Winnipeg Jets,2024-03-09 03:00:00,['NHL CENTER ICE']
sea,"Thu, Mar 21",Vegas Golden Knights,2024-03-22 02:30:00,['ESPN']
sea,"Thu, Mar 14",Washington Capitals,2024-03-15 02:00:00,['NHL CENTER ICE']
sea,"Sun, Mar 24",Montreal Canadiens,2024-03-25 01:00:00,['NHL CENTER ICE']
sea,"Mon, Mar 18",Buffalo Sabres,2024-03-19 02:00:00,['NHL CENTER ICE']
sea,"Thu, Mar 28",Anaheim Ducks,2024-03-29 02:00:00,['NHL CENTER ICE']
sea,"Fri, Mar 22",Arizona Coyotes,2024-03-23 02:00:00,['NHL CENTER ICE']
sea,"Mon, Apr 1",San Jose Sharks,2024-04-02 02:30:00,['NHL CENTER ICE']
sea,"Tue, Mar 26",Anaheim Ducks,2024-03-27 02:00:00,['NHL CENTER ICE']
sea,"Fri, Apr 5",Anaheim Ducks,2024-04-06 02:00:00,['NHL CENTER ICE']
sea,"Sat, Mar 30",Dallas Stars,2024-03-31 02:00:00,['NHL CENTER ICE']
sea,"Thu, Apr 11",San Jose Sharks,2024-04-12 02:00:00,['NHL CENTER ICE']
sea,"Wed, Apr 3",Los Angeles Kings,2024-04-04 01:30:00,['TNT']
sea,"Sun, Apr 14",St Louis Blues,2024-04-14 17:00:00,['TNT']
sea,"Sat, Apr 13",Dallas Stars,2024-04-13 19:00:00,['TNT']
sea,"Thu, Apr 18",Minnesota Wild,2024-04-18 23:00:00,['ESPN']
