team,date,opponent,time,channel
sj,"Thu, Oct 12",Vegas Golden Knights,invalid time,['NHL CENTER ICE']
sj,"Sat, Oct 14",Colorado Avalanche,invalid time,['NHL CENTER ICE']
sj,"Tue, Oct 17",Carolina Hurricanes,invalid time,['NHL CENTER ICE']
sj,"Thu, Oct 19",Boston Bruins,invalid time,['NHL CENTER ICE']
sj,DATE,Florida Panthers,invalid time,['NHL CENTER ICE']
sj,"Thu, Oct 26",Tampa Bay Lightning,2023-10-26 23:00:00,['NHLPP|ESPN+']
sj,"Tue, Oct 24",Florida Panthers,2023-10-24 23:45:00,['NHLPP|ESPN+']
sj,"Sun, Oct 29",Washington Capitals,2023-10-29 21:00:00,['NHLPP|ESPN+']
sj,"Fri, Oct 27",Carolina Hurricanes,2023-10-27 23:00:00,['NHLPP|ESPN+']
sj,"Sat, Nov 4",Pittsburgh Penguins,2023-11-05 02:00:00,['NHLPP|ESPN+']
sj,"Thu, Nov 2",Vancouver Canucks,2023-11-03 02:30:00,['NHLPP|ESPN+']
sj,"Thu, Nov 9",Edmonton Oilers,2023-11-10 03:30:00,"['ESPN+', 'HULU']"
sj,"Tue, Nov 7",Philadelphia Flyers,2023-11-08 03:30:00,['NHL CENTER ICE']
sj,"Sun, Nov 12",Anaheim Ducks,2023-11-13 01:00:00,['NHL CENTER ICE']
sj,"Fri, Nov 10",Vegas Golden Knights,2023-11-11 03:00:00,['NHL CENTER ICE']
sj,"Thu, Nov 16",St Louis Blues,2023-11-17 03:30:00,['NHL CENTER ICE']
sj,"Tue, Nov 14",Florida Panthers,2023-11-15 03:30:00,"['ESPN+', 'HULU']"
sj,"Wed, Nov 22",Seattle Kraken,2023-11-23 03:00:00,['NHL CENTER ICE']
sj,"Mon, Nov 20",Vancouver Canucks,2023-11-21 03:00:00,['NHL CENTER ICE']
sj,"Sat, Nov 25",Vancouver Canucks,2023-11-26 03:00:00,['NHL CENTER ICE']
sj,"Fri, Nov 24",Montreal Canadiens,2023-11-24 20:30:00,['NHL CENTER ICE']
sj,"Thu, Nov 30",Boston Bruins,2023-12-01 00:00:00,['NHL CENTER ICE']
sj,"Mon, Nov 27",Washington Capitals,2023-11-28 03:30:00,['NHL CENTER ICE']
sj,"Sun, Dec 3",New York Rangers,2023-12-03 23:00:00,['NHL CENTER ICE']
sj,"Fri, Dec 1",New Jersey Devils,2023-12-02 00:00:00,['NHL CENTER ICE']
sj,"Thu, Dec 7",Detroit Red Wings,2023-12-08 00:00:00,['NHL CENTER ICE']
sj,"Tue, Dec 5",New York Islanders,2023-12-06 00:30:00,['NHL CENTER ICE']
sj,"Tue, Dec 12",Winnipeg Jets,2023-12-13 03:30:00,['NHL CENTER ICE']
sj,"Sun, Dec 10",Vegas Golden Knights,2023-12-11 03:00:00,['NHL CENTER ICE']
sj,"Sun, Dec 17",Colorado Avalanche,2023-12-18 01:00:00,['NHL CENTER ICE']
sj,"Fri, Dec 15",Arizona Coyotes,2023-12-16 02:00:00,['NHL CENTER ICE']
sj,"Thu, Dec 21",Arizona Coyotes,2023-12-22 03:30:00,"['ESPN+', 'HULU']"
sj,"Tue, Dec 19",Los Angeles Kings,2023-12-20 03:30:00,"['ESPN+', 'HULU']"
sj,"Wed, Dec 27",Los Angeles Kings,2023-12-28 03:00:00,['NHL CENTER ICE']
sj,"Sat, Dec 23",Vancouver Canucks,2023-12-24 03:00:00,['NHL CENTER ICE']
sj,"Sun, Dec 31",Colorado Avalanche,2024-01-01 01:00:00,['NHL CENTER ICE']
sj,"Thu, Dec 28",Edmonton Oilers,2023-12-29 03:30:00,['NHL CENTER ICE']
sj,"Thu, Jan 4",Winnipeg Jets,2024-01-05 03:30:00,['NHL CENTER ICE']
sj,"Tue, Jan 2",Detroit Red Wings,2024-01-03 03:30:00,['NHL CENTER ICE']
sj,"Tue, Jan 9",Toronto Maple Leafs,2024-01-10 00:00:00,['NHL CENTER ICE']
sj,"Sat, Jan 6",Toronto Maple Leafs,2024-01-07 00:00:00,['NHL CENTER ICE']
sj,"Sat, Jan 13",Ottawa Senators,2024-01-13 21:00:00,['NHL CENTER ICE']
sj,"Thu, Jan 11",Montreal Canadiens,2024-01-12 00:00:00,['NHL CENTER ICE']
sj,"Tue, Jan 16",Chicago Blackhawks,2024-01-17 01:30:00,['NHL CENTER ICE']
sj,"Mon, Jan 15",Buffalo Sabres,2024-01-15 18:00:00,['NHL CENTER ICE']
sj,"Mon, Jan 22",Los Angeles Kings,2024-01-23 03:30:00,['NHL CENTER ICE']
sj,"Sat, Jan 20",Anaheim Ducks,2024-01-21 03:00:00,['NHL CENTER ICE']
sj,"Sat, Jan 27",Buffalo Sabres,2024-01-27 21:00:00,['NHL CENTER ICE']
sj,"Tue, Jan 23",New York Rangers,2024-01-24 03:30:00,['NHL CENTER ICE']
sj,"Wed, Jan 31",Anaheim Ducks,2024-02-01 03:00:00,['NHL CENTER ICE']
sj,"Tue, Jan 30",Seattle Kraken,2024-01-31 03:30:00,['NHL CENTER ICE']
sj,"Thu, Feb 15",Calgary Flames,2024-02-16 02:00:00,['NHL CENTER ICE']
sj,"Wed, Feb 14",Winnipeg Jets,2024-02-15 00:30:00,['NHL CENTER ICE']
sj,"Mon, Feb 19",Vegas Golden Knights,2024-02-19 21:00:00,['NHL CENTER ICE']
