team,date,opponent,time,channel
stl,"Thu, Oct 12",Dallas Stars,invalid time,['NHL CENTER ICE']
stl,"Sat, Oct 14",Seattle Kraken,invalid time,['NHL CENTER ICE']
stl,"Thu, Oct 19",Arizona Coyotes,invalid time,['NHL CENTER ICE']
stl,"Thu, Oct 26",Calgary Flames,2023-10-27 01:00:00,['NHLPP|ESPN+']
stl,DATE,Winnipeg Jets,invalid time,['NHL CENTER ICE']
stl,"Wed, Nov 1",Colorado Avalanche,2023-11-02 01:30:00,['TNT']
stl,"Tue, Oct 24",Winnipeg Jets,2023-10-25 00:45:00,['NHLPP|ESPN+']
stl,"Sat, Nov 4",Montreal Canadiens,2023-11-04 23:00:00,['NHLPP|ESPN+']
stl,"Fri, Oct 27",Vancouver Canucks,2023-10-28 02:00:00,['NHLPP|ESPN+']
stl,"Thu, Nov 9",Arizona Coyotes,2023-11-10 01:00:00,['NHL CENTER ICE']
stl,"Fri, Nov 3",New Jersey Devils,2023-11-04 00:00:00,['NHLPP|ESPN+']
stl,"Tue, Nov 14",Tampa Bay Lightning,2023-11-15 01:00:00,['NHL CENTER ICE']
stl,"Tue, Nov 7",Winnipeg Jets,2023-11-08 01:00:00,['NHL CENTER ICE']
stl,"Sat, Nov 18",Los Angeles Kings,2023-11-19 03:30:00,['NHL CENTER ICE']
stl,"Sat, Nov 11",Colorado Avalanche,2023-11-12 02:00:00,['NHL CENTER ICE']
stl,"Wed, Nov 22",Arizona Coyotes,2023-11-23 02:00:00,['NHL CENTER ICE']
stl,"Thu, Nov 16",San Jose Sharks,2023-11-17 03:30:00,['NHL CENTER ICE']
stl,"Sun, Nov 26",Chicago Blackhawks,2023-11-26 19:00:00,['NHL CENTER ICE']
stl,"Sun, Nov 19",Anaheim Ducks,2023-11-20 01:00:00,['NHL CENTER ICE']
stl,"Thu, Nov 30",Buffalo Sabres,2023-12-01 01:00:00,['NHL CENTER ICE']
stl,"Fri, Nov 24",Nashville Predators,2023-11-24 20:00:00,['NHL CENTER ICE']
stl,"Mon, Dec 4",Vegas Golden Knights,2023-12-05 03:00:00,['NHL CENTER ICE']
stl,"Tue, Nov 28",Minnesota Wild,2023-11-29 01:00:00,['NHL CENTER ICE']
stl,"Fri, Dec 8",Columbus Blue Jackets,2023-12-09 00:00:00,['NHL CENTER ICE']
stl,"Sat, Dec 2",Arizona Coyotes,2023-12-03 02:00:00,['NHL CENTER ICE']
stl,"Tue, Dec 12",Detroit Red Wings,2023-12-13 00:30:00,['ESPN']
stl,"Wed, Dec 6",Vegas Golden Knights,2023-12-07 02:00:00,['NHL CENTER ICE']
stl,"Sat, Dec 16",Dallas Stars,2023-12-17 01:00:00,['NHL CENTER ICE']
stl,"Sat, Dec 9",Chicago Blackhawks,2023-12-10 01:00:00,['NHL CENTER ICE']
stl,"Thu, Dec 21",Florida Panthers,2023-12-22 00:00:00,['NHL CENTER ICE']
stl,"Thu, Dec 14",Ottawa Senators,2023-12-15 01:00:00,['NHL CENTER ICE']
stl,"Wed, Dec 27",Dallas Stars,2023-12-28 01:00:00,['NHL CENTER ICE']
stl,"Tue, Dec 19",Tampa Bay Lightning,2023-12-20 00:00:00,['NHL CENTER ICE']
stl,"Sat, Dec 30",Pittsburgh Penguins,2023-12-31 00:00:00,['NHL CENTER ICE']
stl,"Sat, Dec 23",Chicago Blackhawks,2023-12-24 01:00:00,['NHL CENTER ICE']
stl,"Sat, Jan 6",Carolina Hurricanes,2024-01-07 01:00:00,['NHL CENTER ICE']
stl,"Fri, Dec 29",Colorado Avalanche,2023-12-30 01:00:00,['NHL CENTER ICE']
stl,"Thu, Jan 11",New York Rangers,2024-01-12 01:00:00,['NHL CENTER ICE']
stl,"Thu, Jan 4",Vancouver Canucks,2024-01-05 01:00:00,['NHL CENTER ICE']
stl,"Mon, Jan 15",Philadelphia Flyers,2024-01-16 01:00:00,['NHL CENTER ICE']
stl,"Tue, Jan 9",Florida Panthers,2024-01-10 01:00:00,['NHL CENTER ICE']
stl,"Sat, Jan 20",Washington Capitals,2024-01-21 01:00:00,['NHL CENTER ICE']
stl,"Sat, Jan 13",Boston Bruins,2024-01-14 01:00:00,['NHL CENTER ICE']
stl,"Wed, Jan 24",Vancouver Canucks,2024-01-25 03:00:00,['NHL CENTER ICE']
stl,"Thu, Jan 18",Washington Capitals,2024-01-19 00:00:00,['NHL CENTER ICE']
stl,"Sun, Jan 28",Los Angeles Kings,2024-01-28 19:00:00,['NHL CENTER ICE']
stl,"Tue, Jan 23",Calgary Flames,2024-01-24 02:00:00,['NHL CENTER ICE']
stl,"Sat, Feb 10",Buffalo Sabres,2024-02-10 18:00:00,"['ABC', 'ESPN+']"
stl,"Fri, Jan 26",Seattle Kraken,2024-01-27 03:00:00,['NHL CENTER ICE']
stl,"Tue, Feb 13",Toronto Maple Leafs,2024-02-14 00:00:00,['NHL CENTER ICE']
