team,date,opponent,time,channel
tb,"Tue, Oct 10",Nashville Predators,invalid time,['NHL CENTER ICE']
tb,"Sat, Oct 14",Detroit Red Wings,invalid time,['NHL CENTER ICE']
tb,"Sun, Oct 15",Ottawa Senators,invalid time,['NHL CENTER ICE']
tb,"Tue, Oct 17",Buffalo Sabres,invalid time,['NHL CENTER ICE']
tb,"Thu, Oct 19",Vancouver Canucks,invalid time,['NHL CENTER ICE']
tb,"Thu, Oct 26",San Jose Sharks,2023-10-26 23:00:00,['NHLPP|ESPN+']
tb,DATE,Carolina Hurricanes,invalid time,['NHL CENTER ICE']
tb,"Thu, Nov 2",Columbus Blue Jackets,2023-11-02 23:00:00,['NHLPP|ESPN+']
tb,"Tue, Oct 24",Carolina Hurricanes,2023-10-24 23:00:00,['NHLPP|ESPN+']
tb,"Mon, Nov 6",Toronto Maple Leafs,2023-11-07 00:00:00,['NHL CENTER ICE']
tb,"Mon, Oct 30",Seattle Kraken,2023-10-30 23:00:00,['NHLPP|ESPN+']
tb,"Thu, Nov 9",Chicago Blackhawks,2023-11-10 00:00:00,['NHL CENTER ICE']
tb,"Sat, Nov 4",Ottawa Senators,2023-11-04 23:00:00,['NHLPP|ESPN+']
tb,"Tue, Nov 14",St Louis Blues,2023-11-15 01:00:00,['NHL CENTER ICE']
tb,"Tue, Nov 7",Montreal Canadiens,2023-11-08 00:00:00,['NHL CENTER ICE']
tb,"Sat, Nov 18",Edmonton Oilers,2023-11-18 21:00:00,['NHL CENTER ICE']
tb,"Sat, Nov 11",Carolina Hurricanes,2023-11-12 00:00:00,['NHL CENTER ICE']
tb,"Wed, Nov 22",Winnipeg Jets,2023-11-23 00:00:00,['NHL CENTER ICE']
tb,"Thu, Nov 16",Chicago Blackhawks,2023-11-17 01:00:00,"['ESPN+', 'HULU']"
tb,"Mon, Nov 27",Colorado Avalanche,2023-11-28 02:00:00,['NHL CENTER ICE']
tb,"Mon, Nov 20",Boston Bruins,2023-11-21 00:00:00,['NHL CENTER ICE']
tb,"Thu, Nov 30",Pittsburgh Penguins,2023-12-01 00:00:00,['NHL CENTER ICE']
tb,"Fri, Nov 24",Carolina Hurricanes,2023-11-24 20:00:00,['NHL CENTER ICE']
tb,"Mon, Dec 4",Dallas Stars,2023-12-05 00:00:00,['NHL CENTER ICE']
tb,"Tue, Nov 28",Arizona Coyotes,2023-11-29 02:00:00,['NHL CENTER ICE']
tb,"Thu, Dec 7",Nashville Predators,2023-12-08 01:00:00,['NHL CENTER ICE']
tb,"Sat, Dec 2",Dallas Stars,2023-12-02 19:00:00,['NHL CENTER ICE']
tb,"Tue, Dec 12",Vancouver Canucks,2023-12-13 03:00:00,['NHL CENTER ICE']
tb,"Wed, Dec 6",Pittsburgh Penguins,2023-12-07 00:00:00,['NHL CENTER ICE']
tb,"Sat, Dec 16",Calgary Flames,2023-12-17 03:00:00,['NHL CENTER ICE']
tb,"Sat, Dec 9",Seattle Kraken,2023-12-10 03:00:00,['NHL CENTER ICE']
tb,"Thu, Dec 21",Vegas Golden Knights,2023-12-22 00:00:00,['NHL CENTER ICE']
tb,"Thu, Dec 14",Edmonton Oilers,2023-12-15 02:00:00,['NHL CENTER ICE']
tb,"Wed, Dec 27",Florida Panthers,2023-12-28 00:00:00,['NHL CENTER ICE']
tb,"Tue, Dec 19",St Louis Blues,2023-12-20 00:00:00,['NHL CENTER ICE']
tb,"Sun, Dec 31",Montreal Canadiens,2024-01-01 00:00:00,['NHL CENTER ICE']
tb,"Sat, Dec 23",Washington Capitals,2023-12-24 00:00:00,['NHL CENTER ICE']
tb,"Thu, Jan 4",Minnesota Wild,2024-01-05 01:00:00,['NHL CENTER ICE']
tb,"Sat, Dec 30",New York Rangers,2023-12-31 00:00:00,['NHL CENTER ICE']
tb,"Tue, Jan 9",Los Angeles Kings,2024-01-10 00:00:00,['NHL CENTER ICE']
tb,"Tue, Jan 2",Winnipeg Jets,2024-01-03 01:00:00,['NHL CENTER ICE']
tb,"Sat, Jan 13",Anaheim Ducks,2024-01-14 00:00:00,['NHL CENTER ICE']
tb,"Sat, Jan 6",Boston Bruins,2024-01-07 00:00:00,['NHL CENTER ICE']
tb,"Sat, Jan 20",Buffalo Sabres,2024-01-20 17:30:00,['NHL CENTER ICE']
tb,"Thu, Jan 11",New Jersey Devils,2024-01-12 00:00:00,['NHL CENTER ICE']
tb,"Tue, Jan 23",Philadelphia Flyers,2024-01-24 00:00:00,['NHL CENTER ICE']
tb,"Thu, Jan 18",Minnesota Wild,2024-01-19 00:00:00,"['ESPN+', 'HULU']"
tb,"Sat, Jan 27",New Jersey Devils,2024-01-28 00:00:00,['NHL CENTER ICE']
tb,"Sun, Jan 21",Detroit Red Wings,2024-01-21 22:00:00,['NHL CENTER ICE']
tb,"Thu, Feb 8",New York Islanders,2024-02-09 01:00:00,['ESPN']
tb,"Thu, Jan 25",Arizona Coyotes,2024-01-26 00:00:00,['NHL CENTER ICE']
tb,"Tue, Feb 13",Boston Bruins,2024-02-14 00:00:00,['NHL CENTER ICE']
tb,"Wed, Feb 7",New York Rangers,2024-02-08 00:00:00,['TNT']
tb,"Sat, Feb 17",Florida Panthers,2024-02-17 22:00:00,['NHL CENTER ICE']
tb,"Sat, Feb 10",Columbus Blue Jackets,2024-02-11 00:00:00,['NHL CENTER ICE']
tb,"Thu, Feb 22",Washington Capitals,2024-02-23 00:00:00,['ESPN']
tb,"Thu, Feb 15",Colorado Avalanche,2024-02-16 00:00:00,['NHL CENTER ICE']
tb,"Sun, Feb 25",New Jersey Devils,2024-02-25 18:00:00,['TNT']
tb,"Mon, Feb 19",Ottawa Senators,2024-02-20 00:00:00,['NHL CENTER ICE']
tb,"Thu, Feb 29",Buffalo Sabres,2024-03-01 00:00:00,['NHL CENTER ICE']
tb,"Sat, Feb 24",New York Islanders,2024-02-24 17:30:00,['NHL CENTER ICE']
tb,"Thu, Mar 7",Calgary Flames,2024-03-08 00:00:00,['NHL CENTER ICE']
tb,"Tue, Feb 27",Philadelphia Flyers,2024-02-28 00:00:00,['NHL CENTER ICE']
tb,"Thu, Mar 14",New York Rangers,2024-03-14 23:00:00,['NHL CENTER ICE']
tb,"Sat, Mar 2",Montreal Canadiens,2024-03-03 00:00:00,['NHL CENTER ICE']
tb,"Tue, Mar 19",Vegas Golden Knights,2024-03-20 02:00:00,['NHL CENTER ICE']
tb,"Sat, Mar 9",Philadelphia Flyers,2024-03-10 00:00:00,['NHL CENTER ICE']
tb,"Sat, Mar 23",Los Angeles Kings,2024-03-24 02:30:00,['NHL CENTER ICE']
tb,"Sat, Mar 16",Florida Panthers,2024-03-16 22:00:00,"['ESPN+', 'HULU']"
tb,"Wed, Mar 27",Boston Bruins,2024-03-27 23:30:00,['TNT']
tb,"Thu, Mar 21",San Jose Sharks,2024-03-22 02:30:00,['NHL CENTER ICE']
tb,"Mon, Apr 1",Detroit Red Wings,2024-04-01 23:00:00,['NHL CENTER ICE']
tb,"Sun, Mar 24",Anaheim Ducks,2024-03-25 00:30:00,['NHL CENTER ICE']
tb,"Thu, Apr 4",Montreal Canadiens,2024-04-04 23:00:00,['NHL CENTER ICE']
tb,"Sat, Mar 30",New York Islanders,2024-03-30 23:00:00,['NHL CENTER ICE']
