team,date,opponent,time,channel
tor,"Wed, Oct 11",Montreal Canadiens,invalid time,['NHL CENTER ICE']
tor,"Sat, Oct 14",Minnesota Wild,invalid time,['NHL CENTER ICE']
tor,"Mon, Oct 16",Chicago Blackhawks,invalid time,['NHL CENTER ICE']
tor,"Thu, Oct 19",Florida Panthers,invalid time,['NHL CENTER ICE']
tor,DATE,Washington Capitals,invalid time,['NHL CENTER ICE']
tor,"Thu, Oct 26",Dallas Stars,2023-10-27 00:00:00,['NHLPP|ESPN+']
tor,"Tue, Oct 24",Washington Capitals,2023-10-24 22:00:00,"['ESPN', 'ESPN+']"
tor,"Tue, Oct 31",Los Angeles Kings,2023-11-01 00:00:00,['ESPN']
tor,"Sat, Oct 28",Nashville Predators,2023-10-28 23:00:00,['NHL NET']
tor,"Sat, Nov 4",Buffalo Sabres,2023-11-04 23:00:00,['NHL NET']
tor,"Thu, Nov 2",Boston Bruins,2023-11-02 23:30:00,"['ESPN+', 'HULU']"
tor,"Wed, Nov 8",Ottawa Senators,2023-11-09 00:00:00,['NHL CENTER ICE']
tor,"Mon, Nov 6",Tampa Bay Lightning,2023-11-07 00:00:00,['NHL CENTER ICE']
tor,"Sat, Nov 11",Vancouver Canucks,2023-11-12 00:00:00,['NHL CENTER ICE']
tor,"Fri, Nov 10",Calgary Flames,2023-11-11 00:00:00,['NHL CENTER ICE']
tor,"Sun, Nov 19",Minnesota Wild,2023-11-19 13:00:00,['NHL CENTER ICE']
tor,"Fri, Nov 17",Detroit Red Wings,2023-11-17 19:00:00,['NHL CENTER ICE']
tor,"Sat, Nov 25",Pittsburgh Penguins,2023-11-26 00:00:00,['NHL CENTER ICE']
tor,"Fri, Nov 24",Chicago Blackhawks,2023-11-24 19:00:00,['NHL CENTER ICE']
tor,"Thu, Nov 30",Seattle Kraken,2023-12-01 00:00:00,['NHL CENTER ICE']
tor,"Tue, Nov 28",Florida Panthers,2023-11-29 00:00:00,['NHL CENTER ICE']
tor,"Thu, Dec 7",Ottawa Senators,2023-12-08 00:00:00,['NHL CENTER ICE']
tor,"Sat, Dec 2",Boston Bruins,2023-12-03 00:00:00,['NHL CENTER ICE']
tor,"Mon, Dec 11",New York Islanders,2023-12-12 00:00:00,['NHL CENTER ICE']
tor,"Sat, Dec 9",Nashville Predators,2023-12-10 00:00:00,['NHL CENTER ICE']
tor,"Thu, Dec 14",Columbus Blue Jackets,2023-12-15 00:00:00,['NHL CENTER ICE']
tor,"Tue, Dec 12",New York Rangers,2023-12-13 00:00:00,['NHL CENTER ICE']
tor,"Tue, Dec 19",New York Rangers,2023-12-20 00:00:00,['NHL CENTER ICE']
tor,"Sat, Dec 16",Pittsburgh Penguins,2023-12-17 00:00:00,['NHL CENTER ICE']
