team,date,opponent,time,channel
van,"Wed, Oct 11",Edmonton Oilers,invalid time,['NHL CENTER ICE']
van,"Sat, Oct 14",Edmonton Oilers,invalid time,['NHL CENTER ICE']
van,"Tue, Oct 17",Philadelphia Flyers,invalid time,['NHL CENTER ICE']
van,"Thu, Oct 19",Tampa Bay Lightning,invalid time,['NHL CENTER ICE']
van,DATE,Nashville Predators,invalid time,['NHL CENTER ICE']
van,"Fri, Oct 27",St Louis Blues,2023-10-28 02:00:00,['NHLPP|ESPN+']
van,"Tue, Oct 24",Nashville Predators,2023-10-25 01:15:00,['NHLPP|ESPN+']
van,"Tue, Oct 31",Nashville Predators,2023-11-01 02:00:00,['NHLPP|ESPN+']
van,"Sat, Oct 28",New York Rangers,2023-10-29 02:00:00,['NHLPP|ESPN+']
van,"Sat, Nov 4",Dallas Stars,2023-11-05 02:00:00,['NHLPP|ESPN+']
van,"Thu, Nov 2",San Jose Sharks,2023-11-03 02:30:00,['NHLPP|ESPN+']
van,"Thu, Nov 9",Ottawa Senators,2023-11-10 00:00:00,['NHL CENTER ICE']
van,"Mon, Nov 6",Edmonton Oilers,2023-11-07 03:00:00,['NHL CENTER ICE']
van,"Sun, Nov 12",Montreal Canadiens,2023-11-13 00:00:00,['NHL CENTER ICE']
van,"Sat, Nov 11",Toronto Maple Leafs,2023-11-12 00:00:00,['NHL CENTER ICE']
van,"Thu, Nov 16",Calgary Flames,2023-11-17 02:00:00,['NHL CENTER ICE']
van,"Wed, Nov 15",New York Islanders,2023-11-16 03:30:00,['TNT']
van,"Mon, Nov 20",San Jose Sharks,2023-11-21 03:00:00,['NHL CENTER ICE']
van,"Sat, Nov 18",Seattle Kraken,2023-11-19 03:00:00,['NHL CENTER ICE']
van,"Fri, Nov 24",Seattle Kraken,2023-11-25 03:00:00,['NHL CENTER ICE']
van,"Wed, Nov 22",Colorado Avalanche,2023-11-23 03:00:00,['NHL CENTER ICE']
van,"Tue, Nov 28",Anaheim Ducks,2023-11-29 03:00:00,['NHL CENTER ICE']
van,"Sat, Nov 25",San Jose Sharks,2023-11-26 03:00:00,['NHL CENTER ICE']
van,"Sat, Dec 2",Calgary Flames,2023-12-03 03:00:00,['NHL CENTER ICE']
van,"Thu, Nov 30",Vegas Golden Knights,2023-12-01 03:00:00,['NHL CENTER ICE']
van,"Thu, Dec 7",Minnesota Wild,2023-12-08 03:00:00,['NHL CENTER ICE']
van,"Tue, Dec 5",New Jersey Devils,2023-12-06 03:00:00,['NHL CENTER ICE']
van,"Tue, Dec 12",Tampa Bay Lightning,2023-12-13 03:00:00,['NHL CENTER ICE']
van,"Sat, Dec 9",Carolina Hurricanes,2023-12-10 03:00:00,['NHL CENTER ICE']
van,"Sat, Dec 16",Minnesota Wild,2023-12-16 21:00:00,['NHL CENTER ICE']
van,"Thu, Dec 14",Florida Panthers,2023-12-15 03:00:00,['NHL CENTER ICE']
van,"Tue, Dec 19",Nashville Predators,2023-12-20 01:00:00,['NHL CENTER ICE']
van,"Sun, Dec 17",Chicago Blackhawks,2023-12-17 20:00:00,['NHL CENTER ICE']
van,"Sat, Dec 23",San Jose Sharks,2023-12-24 03:00:00,['NHL CENTER ICE']
van,"Thu, Dec 21",Dallas Stars,2023-12-22 01:00:00,['NHL CENTER ICE']
van,"Tue, Jan 2",Ottawa Senators,2024-01-03 03:00:00,['NHL CENTER ICE']
van,"Thu, Dec 28",Philadelphia Flyers,2023-12-29 03:00:00,['NHL CENTER ICE']
van,"Sat, Jan 6",New Jersey Devils,2024-01-07 00:00:00,['NHL CENTER ICE']
van,"Thu, Jan 4",St Louis Blues,2024-01-05 01:00:00,['NHL CENTER ICE']
van,"Tue, Jan 9",New York Islanders,2024-01-10 00:30:00,['NHL CENTER ICE']
van,"Mon, Jan 8",New York Rangers,2024-01-09 00:00:00,['NHL CENTER ICE']
van,"Sat, Jan 13",Buffalo Sabres,2024-01-13 21:00:00,['NHL CENTER ICE']
van,"Thu, Jan 11",Pittsburgh Penguins,2024-01-12 00:00:00,['NHL CENTER ICE']
van,"Thu, Jan 18",Arizona Coyotes,2024-01-19 03:00:00,['NHL CENTER ICE']
van,"Mon, Jan 15",Columbus Blue Jackets,2024-01-15 18:00:00,['NHL CENTER ICE']
van,"Mon, Jan 22",Chicago Blackhawks,2024-01-23 03:00:00,['NHL CENTER ICE']
van,"Sat, Jan 20",Toronto Maple Leafs,2024-01-21 00:00:00,['NHL CENTER ICE']
van,"Sat, Jan 27",Columbus Blue Jackets,2024-01-28 03:00:00,['NHL CENTER ICE']
van,"Wed, Jan 24",St Louis Blues,2024-01-25 03:00:00,['NHL CENTER ICE']
van,"Thu, Feb 8",Boston Bruins,2024-02-09 00:00:00,['NHL CENTER ICE']
van,"Tue, Feb 6",Carolina Hurricanes,2024-02-07 00:00:00,['NHL CENTER ICE']
van,"Sun, Feb 11",Washington Capitals,2024-02-11 18:30:00,['NHL CENTER ICE']
van,"Sat, Feb 10",Detroit Red Wings,2024-02-10 18:00:00,['NHL CENTER ICE']
van,"Thu, Feb 15",Detroit Red Wings,2024-02-16 03:00:00,['NHL CENTER ICE']
van,"Tue, Feb 13",Chicago Blackhawks,2024-02-14 01:30:00,['NHL CENTER ICE']
van,"Mon, Feb 19",Minnesota Wild,2024-02-19 19:00:00,['NHL CENTER ICE']
van,"Sat, Feb 17",Winnipeg Jets,2024-02-18 03:00:00,['NHL CENTER ICE']
van,"Thu, Feb 22",Seattle Kraken,2024-02-23 03:00:00,['NHL CENTER ICE']
van,"Tue, Feb 20",Colorado Avalanche,2024-02-21 02:00:00,['NHL CENTER ICE']
van,"Tue, Feb 27",Pittsburgh Penguins,2024-02-28 03:00:00,['NHL CENTER ICE']
van,"Sat, Feb 24",Boston Bruins,2024-02-25 00:00:00,['NHL CENTER ICE']
van,"Sun, Mar 3",Anaheim Ducks,2024-03-04 01:00:00,['NHL CENTER ICE']
van,"Thu, Feb 29",Los Angeles Kings,2024-03-01 03:00:00,['NHL CENTER ICE']
van,"Thu, Mar 7",Vegas Golden Knights,2024-03-08 03:00:00,['NHL CENTER ICE']
van,"Tue, Mar 5",Los Angeles Kings,2024-03-06 03:30:00,['NHL CENTER ICE']
van,"Wed, Mar 13",Colorado Avalanche,2024-03-14 02:30:00,['NHL CENTER ICE']
van,"Sat, Mar 9",Winnipeg Jets,2024-03-10 03:00:00,['NHL CENTER ICE']
van,"Tue, Mar 19",Buffalo Sabres,2024-03-20 02:00:00,['NHL CENTER ICE']
van,"Sat, Mar 16",Washington Capitals,2024-03-17 02:00:00,['NHL CENTER ICE']
van,"Sat, Mar 23",Calgary Flames,2024-03-24 02:00:00,['NHL CENTER ICE']
van,"Thu, Mar 21",Montreal Canadiens,2024-03-22 02:00:00,['NHL CENTER ICE']
van,"Thu, Mar 28",Dallas Stars,2024-03-29 02:00:00,['NHL CENTER ICE']
van,"Mon, Mar 25",Los Angeles Kings,2024-03-26 01:00:00,['NHL CENTER ICE']
van,"Tue, Apr 2",Vegas Golden Knights,2024-04-03 02:00:00,['NHL CENTER ICE']
van,"Sun, Mar 31",Anaheim Ducks,2024-03-31 19:30:00,['TNT']
van,"Sat, Apr 6",Los Angeles Kings,2024-04-07 02:00:00,['NHL CENTER ICE']
van,"Wed, Apr 3",Arizona Coyotes,2024-04-04 02:00:00,['NHL CENTER ICE']
van,"Wed, Apr 10",Arizona Coyotes,2024-04-11 02:30:00,['NHL CENTER ICE']
van,"Mon, Apr 8",Vegas Golden Knights,2024-04-09 02:00:00,['NHL CENTER ICE']
van,"Tue, Apr 16",Calgary Flames,2024-04-17 02:00:00,['NHL CENTER ICE']
van,"Sat, Apr 13",Edmonton Oilers,2024-04-14 02:00:00,['NHL CENTER ICE']
van,"Thu, Apr 18",Winnipeg Jets,2024-04-19 00:00:00,['NHL CENTER ICE']
