team,date,opponent,time,channel
vgk,"Tue, Oct 10",Seattle Kraken,invalid time,['NHL CENTER ICE']
vgk,"Thu, Oct 12",San Jose Sharks,invalid time,['NHL CENTER ICE']
vgk,"Sat, Oct 14",Anaheim Ducks,invalid time,['NHL CENTER ICE']
vgk,"Tue, Oct 17",Dallas Stars,invalid time,['NHL CENTER ICE']
vgk,"Thu, Oct 19",Winnipeg Jets,invalid time,['NHL CENTER ICE']
vgk,"Fri, Oct 27",Chicago Blackhawks,2023-10-27 22:00:00,['NHL NET']
vgk,DATE,Philadelphia Flyers,invalid time,['NHL CENTER ICE']
vgk,"Mon, Oct 30",Montreal Canadiens,2023-10-31 02:00:00,['NHLPP|ESPN+']
vgk,"Tue, Oct 24",Philadelphia Flyers,2023-10-25 03:00:00,"['ESPN', 'ESPN+']"
vgk,"Sat, Nov 4",Colorado Avalanche,2023-11-05 02:00:00,['NHLPP|ESPN+']
vgk,"Sat, Oct 28",Los Angeles Kings,2023-10-29 02:30:00,['NHLPP|ESPN+']
vgk,"Wed, Nov 8",Los Angeles Kings,2023-11-09 03:00:00,['TNT']
vgk,"Thu, Nov 2",Winnipeg Jets,2023-11-03 02:00:00,['NHLPP|ESPN+']
vgk,"Tue, Nov 14",Washington Capitals,2023-11-15 00:00:00,['NHL CENTER ICE']
vgk,"Sun, Nov 5",Anaheim Ducks,2023-11-06 01:00:00,['NHLPP|ESPN+']
vgk,"Sat, Nov 18",Philadelphia Flyers,2023-11-18 18:00:00,['NHL CENTER ICE']
vgk,"Fri, Nov 10",San Jose Sharks,2023-11-11 03:00:00,['NHL CENTER ICE']
vgk,"Wed, Nov 22",Dallas Stars,2023-11-23 02:30:00,['TNT']
vgk,"Thu, Nov 16",Montreal Canadiens,2023-11-17 00:00:00,['NHL CENTER ICE']
vgk,"Mon, Nov 27",Calgary Flames,2023-11-28 02:30:00,['NHL CENTER ICE']
vgk,"Sun, Nov 19",Pittsburgh Penguins,2023-11-19 23:00:00,['NHL CENTER ICE']
vgk,"Thu, Nov 30",Vancouver Canucks,2023-12-01 03:00:00,['NHL CENTER ICE']
vgk,"Sat, Nov 25",Arizona Coyotes,2023-11-26 03:00:00,['NHL CENTER ICE']
vgk,"Mon, Dec 4",St Louis Blues,2023-12-05 03:00:00,['NHL CENTER ICE']
vgk,"Tue, Nov 28",Edmonton Oilers,2023-11-29 02:00:00,['NHL CENTER ICE']
vgk,"Sat, Dec 9",Dallas Stars,2023-12-09 21:00:00,['NHL CENTER ICE']
vgk,"Sat, Dec 2",Washington Capitals,2023-12-03 03:00:00,['NHL CENTER ICE']
vgk,"Tue, Dec 12",Calgary Flames,2023-12-13 03:00:00,['NHL CENTER ICE']
vgk,"Wed, Dec 6",St Louis Blues,2023-12-07 02:00:00,['NHL CENTER ICE']
vgk,"Sun, Dec 17",Ottawa Senators,2023-12-18 01:00:00,['NHL CENTER ICE']
vgk,"Sun, Dec 10",San Jose Sharks,2023-12-11 03:00:00,['NHL CENTER ICE']
vgk,"Thu, Dec 21",Tampa Bay Lightning,2023-12-22 00:00:00,['NHL CENTER ICE']
vgk,"Fri, Dec 15",Buffalo Sabres,2023-12-16 03:00:00,['NHL CENTER ICE']
vgk,"Wed, Dec 27",Anaheim Ducks,2023-12-28 03:00:00,['NHL CENTER ICE']
vgk,"Tue, Dec 19",Carolina Hurricanes,2023-12-20 00:00:00,['NHL CENTER ICE']
vgk,"Mon, Jan 1",Seattle Kraken,2024-01-01 20:00:00,['TNT']
vgk,"Sat, Dec 23",Florida Panthers,2023-12-23 20:00:00,['NHL CENTER ICE']
vgk,"Sat, Jan 6",New York Islanders,2024-01-07 03:00:00,['NHL CENTER ICE']
vgk,"Thu, Dec 28",Los Angeles Kings,2023-12-29 03:00:00,['NHL CENTER ICE']
vgk,"Thu, Jan 11",Boston Bruins,2024-01-12 03:00:00,['NHL CENTER ICE']
vgk,"Thu, Jan 4",Florida Panthers,2024-01-05 03:00:00,['NHL CENTER ICE']
vgk,"Mon, Jan 15",Nashville Predators,2024-01-16 03:00:00,['NHL CENTER ICE']
vgk,"Wed, Jan 10",Colorado Avalanche,2024-01-11 03:00:00,['TNT']
vgk,"Sat, Jan 20",Pittsburgh Penguins,2024-01-21 03:00:00,['NHL CENTER ICE']
vgk,"Sat, Jan 13",Calgary Flames,2024-01-14 03:00:00,['NHL CENTER ICE']
vgk,"Tue, Jan 23",New York Islanders,2024-01-24 00:30:00,['NHL CENTER ICE']
vgk,"Thu, Jan 18",New York Rangers,2024-01-19 03:00:00,['NHL CENTER ICE']
vgk,"Sat, Jan 27",Detroit Red Wings,2024-01-28 00:00:00,['NHL CENTER ICE']
vgk,"Mon, Jan 22",New Jersey Devils,2024-01-23 00:00:00,['NHL CENTER ICE']
vgk,"Thu, Feb 8",Arizona Coyotes,2024-02-09 02:00:00,['NHL CENTER ICE']
vgk,"Fri, Jan 26",New York Rangers,2024-01-27 00:00:00,['ESPN']
vgk,"Sat, Feb 17",Carolina Hurricanes,2024-02-18 03:30:00,['NHL CENTER ICE']
vgk,"Tue, Feb 6",Edmonton Oilers,2024-02-07 03:00:00,"['ESPN+', 'HULU']"
vgk,"Tue, Feb 20",Nashville Predators,2024-02-21 03:00:00,['NHL CENTER ICE']
vgk,"Mon, Feb 12",Minnesota Wild,2024-02-13 03:00:00,['NHL CENTER ICE']
vgk,"Sat, Feb 24",Ottawa Senators,2024-02-25 00:00:00,['NHL CENTER ICE']
vgk,"Mon, Feb 19",San Jose Sharks,2024-02-19 21:00:00,['NHL CENTER ICE']
vgk,"Thu, Feb 29",Boston Bruins,2024-03-01 00:00:00,['NHL CENTER ICE']
vgk,"Thu, Feb 22",Toronto Maple Leafs,2024-02-23 03:00:00,['NHL CENTER ICE']
vgk,"Mon, Mar 4",Columbus Blue Jackets,2024-03-05 00:00:00,['NHL CENTER ICE']
vgk,"Tue, Feb 27",Toronto Maple Leafs,2024-02-28 00:00:00,['NHL CENTER ICE']
vgk,"Sat, Mar 9",Detroit Red Wings,2024-03-10 03:00:00,['NHL CENTER ICE']
vgk,"Sat, Mar 2",Buffalo Sabres,2024-03-03 00:00:00,"['ESPN+', 'HULU']"
vgk,"Thu, Mar 14",Calgary Flames,2024-03-15 01:00:00,['NHL CENTER ICE']
vgk,"Thu, Mar 7",Vancouver Canucks,2024-03-08 03:00:00,['NHL CENTER ICE']
vgk,"Tue, Mar 19",Tampa Bay Lightning,2024-03-20 02:00:00,['NHL CENTER ICE']
vgk,"Tue, Mar 12",Seattle Kraken,2024-03-13 02:00:00,['NHL CENTER ICE']
vgk,"Sat, Mar 23",Columbus Blue Jackets,2024-03-24 02:30:00,['NHL CENTER ICE']
vgk,"Sun, Mar 17",New Jersey Devils,2024-03-17 19:30:00,['TNT']
vgk,"Tue, Mar 26",Nashville Predators,2024-03-27 00:00:00,['NHL CENTER ICE']
vgk,"Thu, Mar 21",Seattle Kraken,2024-03-22 02:30:00,['ESPN']
vgk,"Sat, Mar 30",Minnesota Wild,2024-03-30 18:30:00,['ESPN']
vgk,"Mon, Mar 25",St Louis Blues,2024-03-26 00:00:00,['NHL CENTER ICE']
vgk,"Fri, Apr 5",Arizona Coyotes,2024-04-06 02:00:00,['NHL CENTER ICE']
vgk,"Thu, Mar 28",Winnipeg Jets,2024-03-29 00:00:00,['NHL CENTER ICE']
vgk,"Wed, Apr 10",Edmonton Oilers,2024-04-11 00:30:00,['TNT']
vgk,"Tue, Apr 2",Vancouver Canucks,2024-04-03 02:00:00,['NHL CENTER ICE']
vgk,"Sun, Apr 14",Colorado Avalanche,2024-04-14 19:30:00,['TNT']
vgk,"Fri, Apr 12",Minnesota Wild,2024-04-13 02:00:00,['NHL CENTER ICE']
vgk,"Thu, Apr 18",Anaheim Ducks,2024-04-19 02:00:00,['NHL CENTER ICE']
