team,date,opponent,time,channel
wpg,"Wed, Oct 11",Calgary Flames,invalid time,['NHL CENTER ICE']
wpg,"Sat, Oct 14",Florida Panthers,invalid time,['NHL CENTER ICE']
wpg,"Tue, Oct 17",Los Angeles Kings,invalid time,['NHL CENTER ICE']
wpg,"Thu, Oct 19",Vegas Golden Knights,invalid time,['NHL CENTER ICE']
wpg,DATE,St Louis Blues,invalid time,['NHL CENTER ICE']
wpg,"Thu, Oct 26",Detroit Red Wings,2023-10-26 23:00:00,['NHLPP|ESPN+']
wpg,"Tue, Oct 24",St Louis Blues,2023-10-25 00:45:00,['NHLPP|ESPN+']
wpg,"Mon, Oct 30",New York Rangers,2023-10-30 23:30:00,['NHLPP|ESPN+']
wpg,"Sat, Oct 28",Montreal Canadiens,2023-10-28 23:00:00,['NHLPP|ESPN+']
wpg,"Sat, Nov 4",Arizona Coyotes,2023-11-04 20:00:00,['NHLPP|ESPN+']
wpg,"Thu, Nov 2",Vegas Golden Knights,2023-11-03 02:00:00,['NHLPP|ESPN+']
wpg,"Thu, Nov 9",Nashville Predators,2023-11-10 01:00:00,['NHL CENTER ICE']
wpg,"Tue, Nov 7",St Louis Blues,2023-11-08 01:00:00,['NHL CENTER ICE']
wpg,"Tue, Nov 14",New Jersey Devils,2023-11-15 01:00:00,['NHL CENTER ICE']
wpg,"Sat, Nov 11",Dallas Stars,2023-11-11 21:00:00,['NHL CENTER ICE']
wpg,"Sat, Nov 18",Arizona Coyotes,2023-11-19 00:00:00,['NHL CENTER ICE']
wpg,"Fri, Nov 17",Buffalo Sabres,2023-11-18 01:00:00,['NHL CENTER ICE']
wpg,"Fri, Nov 24",Florida Panthers,2023-11-25 01:00:00,['NHL CENTER ICE']
wpg,"Wed, Nov 22",Tampa Bay Lightning,2023-11-23 00:00:00,['NHL CENTER ICE']
wpg,"Tue, Nov 28",Dallas Stars,2023-11-29 01:00:00,['NHL CENTER ICE']
wpg,"Sun, Nov 26",Nashville Predators,2023-11-27 01:00:00,['NHL CENTER ICE']
wpg,"Sat, Dec 2",Chicago Blackhawks,2023-12-02 20:00:00,['NHL CENTER ICE']
wpg,"Thu, Nov 30",Edmonton Oilers,2023-12-01 01:00:00,['NHL CENTER ICE']
wpg,"Thu, Dec 7",Colorado Avalanche,2023-12-08 02:00:00,['NHL CENTER ICE']
wpg,"Mon, Dec 4",Carolina Hurricanes,2023-12-05 02:00:00,['NHL CENTER ICE']
wpg,"Tue, Dec 12",San Jose Sharks,2023-12-13 03:30:00,['NHL CENTER ICE']
wpg,"Sun, Dec 10",Anaheim Ducks,2023-12-11 01:00:00,['NHL CENTER ICE']
wpg,"Sat, Dec 16",Colorado Avalanche,2023-12-17 00:00:00,['NHL CENTER ICE']
wpg,"Wed, Dec 13",Los Angeles Kings,2023-12-14 03:30:00,['NHL CENTER ICE']
wpg,"Wed, Dec 20",Detroit Red Wings,2023-12-21 00:30:00,['NHL CENTER ICE']
wpg,"Mon, Dec 18",Montreal Canadiens,2023-12-19 00:30:00,['NHL CENTER ICE']
wpg,"Wed, Dec 27",Chicago Blackhawks,2023-12-28 02:00:00,['NHL CENTER ICE']
wpg,"Fri, Dec 22",Boston Bruins,2023-12-23 01:00:00,['NHL CENTER ICE']
wpg,"Sun, Dec 31",Minnesota Wild,2023-12-31 19:00:00,['NHL CENTER ICE']
wpg,"Sat, Dec 30",Minnesota Wild,2023-12-30 20:00:00,['NHL CENTER ICE']
wpg,"Thu, Jan 4",San Jose Sharks,2024-01-05 03:30:00,['NHL CENTER ICE']
wpg,"Tue, Jan 2",Tampa Bay Lightning,2024-01-03 01:00:00,['NHL CENTER ICE']
wpg,"Sun, Jan 7",Arizona Coyotes,2024-01-08 00:00:00,['NHL CENTER ICE']
wpg,"Fri, Jan 5",Anaheim Ducks,2024-01-06 03:00:00,['NHL CENTER ICE']
wpg,"Thu, Jan 11",Chicago Blackhawks,2024-01-12 01:00:00,['NHL CENTER ICE']
wpg,"Tue, Jan 9",Columbus Blue Jackets,2024-01-10 01:00:00,['NHL CENTER ICE']
wpg,"Tue, Jan 16",New York Islanders,2024-01-17 01:00:00,['NHL CENTER ICE']
wpg,"Sat, Jan 13",Philadelphia Flyers,2024-01-14 00:00:00,['NHL CENTER ICE']
wpg,"Mon, Jan 22",Boston Bruins,2024-01-23 00:00:00,['NHL CENTER ICE']
wpg,"Sat, Jan 20",Ottawa Senators,2024-01-20 20:00:00,['NHL CENTER ICE']
wpg,"Sat, Jan 27",Toronto Maple Leafs,2024-01-28 00:00:00,['NHL CENTER ICE']
wpg,"Wed, Jan 24",Toronto Maple Leafs,2024-01-25 00:00:00,['NHL CENTER ICE']
wpg,"Thu, Feb 8",Philadelphia Flyers,2024-02-09 00:00:00,['NHL CENTER ICE']
wpg,"Tue, Feb 6",Pittsburgh Penguins,2024-02-07 00:00:00,['NHL CENTER ICE']
wpg,"Wed, Feb 14",San Jose Sharks,2024-02-15 00:30:00,['NHL CENTER ICE']
wpg,"Sat, Feb 10",Pittsburgh Penguins,2024-02-11 00:00:00,['NHL CENTER ICE']
wpg,"Mon, Feb 19",Calgary Flames,2024-02-19 21:00:00,['NHL CENTER ICE']
wpg,"Sat, Feb 17",Vancouver Canucks,2024-02-18 03:00:00,['NHL CENTER ICE']
wpg,"Fri, Feb 23",Chicago Blackhawks,2024-02-24 01:30:00,['NHL CENTER ICE']
wpg,"Tue, Feb 20",Minnesota Wild,2024-02-21 01:00:00,['NHL CENTER ICE']
wpg,"Tue, Feb 27",St Louis Blues,2024-02-28 01:00:00,['NHL CENTER ICE']
wpg,"Sun, Feb 25",Arizona Coyotes,2024-02-25 23:00:00,['NHL CENTER ICE']
wpg,"Sat, Mar 2",Carolina Hurricanes,2024-03-02 17:30:00,['NHL CENTER ICE']
wpg,"Thu, Feb 29",Dallas Stars,2024-03-01 01:00:00,['NHL CENTER ICE']
wpg,"Tue, Mar 5",Seattle Kraken,2024-03-06 01:00:00,['NHL CENTER ICE']
wpg,"Sun, Mar 3",Buffalo Sabres,2024-03-04 00:00:00,['NHL CENTER ICE']
wpg,"Sat, Mar 9",Vancouver Canucks,2024-03-10 03:00:00,['NHL CENTER ICE']
wpg,"Fri, Mar 8",Seattle Kraken,2024-03-09 03:00:00,['NHL CENTER ICE']
wpg,"Wed, Mar 13",Nashville Predators,2024-03-13 23:30:00,['NHL CENTER ICE']
wpg,"Mon, Mar 11",Washington Capitals,2024-03-11 23:30:00,['NHL CENTER ICE']
wpg,"Sun, Mar 17",Columbus Blue Jackets,2024-03-17 22:00:00,['NHL CENTER ICE']
wpg,"Fri, Mar 15",Anaheim Ducks,2024-03-16 00:00:00,['NHL CENTER ICE']
wpg,"Thu, Mar 21",New Jersey Devils,2024-03-21 23:00:00,['NHL CENTER ICE']
wpg,"Tue, Mar 19",New York Rangers,2024-03-19 23:00:00,['NHL CENTER ICE']
