team,date,opponent,time,channel
wsh,"Fri, Oct 13",Pittsburgh Penguins,invalid time,['NHL CENTER ICE']
wsh,"Mon, Oct 16",Calgary Flames,invalid time,['NHL CENTER ICE']
wsh,"Wed, Oct 18",Ottawa Senators,invalid time,['NHL CENTER ICE']
wsh,"Wed, Oct 25",New Jersey Devils,2023-10-25 23:30:00,['TNT']
wsh,DATE,Toronto Maple Leafs,invalid time,['NHL CENTER ICE']
wsh,"Sun, Oct 29",San Jose Sharks,2023-10-29 21:00:00,['NHLPP|ESPN+']
wsh,"Tue, Oct 24",Toronto Maple Leafs,2023-10-24 22:00:00,"['ESPN', 'ESPN+']"
wsh,"Sat, Nov 4",Columbus Blue Jackets,2023-11-04 23:00:00,['NHLPP|ESPN+']
wsh,"Fri, Oct 27",Minnesota Wild,2023-10-27 23:00:00,['NHLPP|ESPN+']
wsh,"Fri, Nov 10",New Jersey Devils,2023-11-11 00:00:00,['NHL CENTER ICE']
wsh,"Thu, Nov 2",New York Islanders,2023-11-02 23:00:00,['NHLPP|ESPN+']
wsh,"Tue, Nov 14",Vegas Golden Knights,2023-11-15 00:00:00,['NHL CENTER ICE']
wsh,"Wed, Nov 8",Florida Panthers,2023-11-09 00:30:00,['TNT']
wsh,"Wed, Nov 22",Buffalo Sabres,2023-11-23 00:00:00,['NHL CENTER ICE']
wsh,"Sat, Nov 11",New York Islanders,2023-11-12 00:30:00,['NHL CENTER ICE']
wsh,"Mon, Nov 27",San Jose Sharks,2023-11-28 03:30:00,['NHL CENTER ICE']
wsh,"Sat, Nov 18",Columbus Blue Jackets,2023-11-19 00:00:00,['NHL CENTER ICE']
wsh,"Thu, Nov 30",Anaheim Ducks,2023-12-01 03:00:00,['NHL CENTER ICE']
wsh,"Fri, Nov 24",Edmonton Oilers,2023-11-24 20:00:00,['NHL CENTER ICE']
wsh,"Mon, Dec 4",Arizona Coyotes,2023-12-05 02:00:00,['NHL CENTER ICE']
wsh,"Wed, Nov 29",Los Angeles Kings,2023-11-30 03:30:00,['NHL CENTER ICE']
wsh,"Sat, Dec 9",New York Rangers,2023-12-10 00:00:00,['NHL CENTER ICE']
